1912-02-19 335_23 336_19 350_22 307_10 058_10 232_28 024_07 279_48 088_24 064_19 000_21 1.00 12.85 F001.73 F001.22 F000.50 F000.05 F000.10 F000.05 R000.00 F000.00 359.95
1912-02-20 336_23 349_10 352_06 308_23 058_40 232_31 024_13 279_51 088_24 064_19 000_18 0.98 13.08 F001.67 F001.23 F000.53 F000.03 F000.10 F000.02 R000.00 F000.00 359.92
1912-02-21 337_22 002_15 353_46 309_37 059_12 232_33 024_19 279_52 088_24 064_19 000_13 1.00 13.30 F001.58 F001.23 F000.52 F000.03 F000.10 F000.05 R359.97 F000.00 359.95
1912-02-22 338_22 015_33 355_21 310_51 059_43 232_35 024_25 279_55 088_22 064_19 000_10 1.00 13.50 F001.50 F001.22 F000.50 F000.03 F000.10 F000.02 R000.00 F000.00 359.95
1912-02-23 339_22 029_03 356_51 312_04 060_13 232_37 024_31 279_56 088_22 064_19 000_07 1.00 13.67 F001.42 F001.23 F000.53 F000.03 F000.10 F000.03 R000.00 F000.00 359.95
1912-02-24 340_22 042_43 358_16 313_18 060_45 232_39 024_37 279_58 088_22 064_19 000_04 0.98 13.90 F001.35 F001.22 F000.52 F000.02 F000.10 F000.05 R000.00 F000.02 359.95
1912-02-25 341_21 056_37 359_37 314_31 061_16 232_40 024_43 280_01 088_22 064_20 000_01 1.00 14.05 F001.23 F001.23 F000.52 F000.02 F000.10 F000.05 R000.00 F000.00 359.95
1912-02-26 342_21 070_40 000_51 315_45 061_47 232_41 024_49 280_04 088_22 064_20 359_58 0.97 14.23 F001.12 F001.22 F000.53 F000.03 F000.10 F000.03 R000.00 F000.00 359.95
1912-02-27 343_19 084_54 001_58 316_58 062_19 232_43 024_55 280_06 088_22 064_20 359_55 1.00 14.32 F001.05 F001.25 F000.53 F000.00 F000.13 F000.02 R000.00 F000.03 359.95
1912-02-28 344_19 099_13 003_01 318_13 062_51 232_43 025_03 280_07 088_22 064_22 359_52 1.00 14.37 F000.90 F001.20 F000.52 F000.03 F000.08 F000.05 R000.00 F000.00 359.95
1912-02-29 345_19 113_35 003_55 319_25 063_22 232_45 025_08 280_10 088_22 064_22 359_49 0.98 14.38 F000.83 F001.25 F000.52 F000.00 F000.13 F000.02 R359.97 F000.00 359.95
1912-02-30 346_18 127_58 004_45 320_40 063_53 232_45 025_16 280_11 088_20 064_22 359_46 0.97 14.30 F000.67 F001.20 F000.53 F000.02 F000.10 F000.03 R000.00 F000.00 359.95
1912-02-31 347_16 142_16 005_25 321_52 064_25 232_46 025_22 280_13 088_20 064_22 359_43 1.00 14.13 F000.58 F001.25 F000.55 F000.00 F000.10 F000.03 R000.00 F000.00 359.95
1912-03-01 348_16 156_24 006_00 323_07 064_58 232_46 025_28 280_15 088_20 064_22 359_40 0.98 13.87 F000.47 F001.20 F000.53 B000.00 F000.13 F000.02 E000.00 F000.03 359.93
1912-03-02 349_15 170_16 006_28 324_19 065_30 232_46 025_36 280_16 088_20 064_24 359_36 1.00 13.60 F000.32 F001.25 F000.52 R000.00 F000.12 F000.05 F000.00 F000.00 359.95
1912-03-03 350_15 183_52 006_47 325_34 066_01 232_46 025_43 280_19 088_20 064_24 359_33 0.97 13.28 F000.23 F001.23 F000.55 R359.98 F000.10 F000.00 F000.00 F000.02 359.95
1912-03-04 351_13 197_09 007_01 326_48 066_34 232_45 025_49 280_19 088_20 064_25 359_30 1.00 12.92 F000.07 F001.22 F000.52 R000.00 F000.12 F000.05 F000.03 F000.00 359.93
1912-03-05 352_13 210_04 007_05 328_01 067_05 232_45 025_56 280_22 088_22 064_25 359_26 0.97 12.62 B359.98 F001.23 F000.57 R359.97 F000.12 F000.02 F000.00 F000.00 359.95
1912-03-06 353_11 222_41 007_04 329_15 067_39 232_43 026_03 280_23 088_22 064_25 359_23 0.98 12.37 R359.90 F001.22 F000.52 R000.00 F000.12 F000.03 F000.00 F000.03 359.93
1912-03-07 354_10 235_03 006_58 330_28 068_10 232_43 026_10 280_25 088_22 064_27 359_19 1.00 12.12 R359.75 F001.22 F000.55 R359.97 F000.10 F000.02 F000.00 F000.00 359.95
1912-03-08 355_10 247_10 006_43 331_41 068_43 232_41 026_16 280_26 088_22 064_27 359_16 0.97 11.95 R359.68 F001.23 F000.55 R359.98 F000.12 F000.03 F000.00 F000.02 359.95
1912-03-09 356_08 259_07 006_24 332_55 069_16 232_40 026_23 280_28 088_22 064_28 359_13 0.98 11.90 R359.57 F001.22 F000.55 R359.98 F000.13 F000.03 F000.00 F000.00 359.95
1912-03-10 357_07 271_01 005_58 334_08 069_49 232_39 026_31 280_30 088_22 064_28 359_10 0.98 11.90 R359.50 F001.23 F000.55 R359.97 F000.12 F000.02 F000.00 F000.00 359.95
1912-03-11 358_06 282_55 005_28 335_22 070_22 232_37 026_38 280_31 088_22 064_28 359_07 0.97 11.97 R359.45 F001.25 F000.55 R359.97 F000.13 F000.00 F000.00 F000.03 359.95
1912-03-12 359_04 294_53 004_55 336_37 070_55 232_35 026_46 280_31 088_22 064_30 359_04 1.00 12.12 R359.35 F001.20 F000.55 R359.98 F000.10 F000.05 F000.03 F000.02 359.95
1912-03-13 000_04 307_00 004_16 337_49 071_28 232_34 026_52 280_34 088_24 064_31 359_01 0.98 12.32 R359.35 F001.25 F000.55 R359.95 F000.13 F000.00 F000.00 F000.00 359.95
1912-03-14 001_03 319_19 003_37 339_04 072_01 232_31 027_00 280_34 088_24 064_31 358_58 0.97 12.57 R359.27 F001.20 F000.55 R359.95 F000.12 F000.03 F000.00 F000.00 359.95
1912-03-15 002_01 331_53 002_53 340_16 072_34 232_28 027_07 280_36 088_24 064_31 358_55 0.98 12.88 R359.28 F001.25 F000.55 R359.95 F000.13 F000.02 F000.02 F000.02 359.95
1912-03-16 003_00 344_46 002_10 341_31 073_07 232_25 027_15 280_37 088_25 064_32 358_52 0.97 13.17 R359.30 F001.23 F000.55 R359.98 F000.12 F000.00 F000.00 F000.03 359.95
1912-03-17 003_58 357_56 001_28 342_45 073_40 232_24 027_22 280_37 088_25 064_34 358_49 0.98 13.48 R359.25 F001.22 F000.55 R359.93 F000.10 F000.02 F000.00 F000.00 359.95
1912-03-18 004_57 011_25 000_43 343_58 074_13 232_20 027_28 280_38 088_25 064_34 358_46 0.97 13.70 R359.33 F001.22 F000.55 R359.93 F000.15 F000.03 F000.00 F000.00 359.92
1912-03-19 005_55 025_07 000_03 345_11 074_46 232_16 027_37 280_40 088_25 064_34 358_41 1.00 13.98 R359.32 F001.23 F000.55 R359.95 F000.10 F000.00 F000.03 F000.02 359.95
1912-03-20 006_55 039_06 359_22 346_25 075_19 232_13 027_43 280_40 088_27 064_35 358_38 0.95 14.12 R359.40 F001.22 F000.58 R359.95 F000.15 F000.02 F000.02 F000.03 359.97
1912-03-21 007_52 053_13 358_46 347_38 075_54 232_10 027_52 280_41 088_28 064_37 358_36 1.00 14.20 R359.42 F001.23 F000.55 R359.95 F000.10 F000.03 F000.00 F000.00 359.95
1912-03-22 008_52 067_25 358_11 348_52 076_27 232_07 027_58 280_43 088_28 064_37 358_33 0.95 14.28 R359.50 F001.23 F000.57 R359.93 F000.15 F000.00 F000.00 F000.03 359.95
1912-03-23 009_49 081_42 357_41 350_06 077_01 232_03 028_07 280_43 088_28 064_39 358_30 1.00 14.27 R359.58 F001.22 F000.55 R359.92 F000.10 F000.00 F000.03 F000.00 359.92
1912-03-24 010_49 095_58 357_16 351_19 077_34 231_58 028_13 280_43 088_30 064_39 358_25 0.95 14.20 R359.62 F001.23 F000.55 R359.95 F000.15 F000.03 F000.00 F000.02 359.95
1912-03-25 011_46 110_10 356_53 352_33 078_07 231_55 028_22 280_45 088_30 064_40 358_22 0.98 14.10 R359.73 F001.22 F000.58 R359.92 F000.10 F000.02 F000.02 F000.00 359.95
1912-03-26 012_45 124_16 356_37 353_46 078_42 231_50 028_28 280_46 088_31 064_40 358_19 0.97 13.98 R359.77 F001.23 F000.57 R359.93 F000.15 F000.00 F000.00 F000.03 359.95
1912-03-27 013_43 138_15 356_23 355_00 079_16 231_46 028_37 280_46 088_31 064_42 358_16 0.97 13.82 R359.88 F001.22 F000.55 R359.92 F000.10 F000.00 F000.02 F000.02 359.95
1912-03-28 014_41 152_04 356_16 356_13 079_49 231_41 028_43 280_46 088_32 064_43 358_13 0.98 13.65 R359.95 F001.25 F000.58 R359.93 F000.15 F000.00 F000.03 F000.00 359.95
1912-03-29 015_40 165_43 356_13 357_28 080_24 231_37 028_52 280_46 088_34 064_43 358_10 0.97 13.45 E000.05 F001.20 F000.57 R359.90 F000.13 F000.03 F000.00 F000.03 359.95
1912-03-30 016_38 179_10 356_16 358_40 080_58 231_31 029_00 280_48 088_34 064_45 358_07 0.98 13.25 F000.12 F001.25 F000.55 R359.92 F000.12 F000.00 F000.02 F000.02 359.95
1912-04-01 017_37 192_25 356_23 359_55 081_31 231_26 029_07 280_48 088_35 064_46 358_04 0.95 12.98 F000.18 F001.20 F000.57 R359.93 F000.13 F000.02 F000.03 F000.00 359.95
1912-04-02 018_34 205_24 356_34 001_07 082_05 231_22 029_15 280_49 088_37 064_46 358_01 0.98 12.75 F000.30 F001.25 F000.58 R359.90 F000.12 F000.00 F000.00 F000.02 359.95
1912-04-03 019_33 218_09 356_52 002_22 082_40 231_16 029_22 280_49 088_37 064_47 357_58 0.97 12.52 F000.35 F001.20 F000.58 R359.90 F000.13 F000.00 F000.03 F000.03 359.95
1912-04-04 020_31 230_40 357_13 003_34 083_15 231_10 029_30 280_49 088_39 064_49 357_55 0.95 12.27 F000.40 F001.25 F000.57 R359.90 F000.12 F000.00 F000.02 F000.02 359.93
1912-04-05 021_28 242_56 357_37 004_49 083_49 231_04 029_37 280_49 088_40 064_50 357_51 0.97 12.13 F000.50 F001.20 F000.55 R359.90 F000.15 F000.00 F000.00 F000.03 359.95
1912-04-06 022_26 255_04 358_07 006_01 084_22 230_58 029_46 280_49 088_40 064_52 357_48 0.98 11.95 F000.57 F001.25 F000.58 R359.93 F000.12 F000.00 F000.03 F000.00 359.95
1912-04-07 023_25 267_01 358_41 007_16 084_57 230_54 029_53 280_49 088_42 064_52 357_45 0.95 11.90 F000.63 F001.23 F000.57 R359.90 F000.13 F000.00 F000.02 F000.03 359.93
1912-04-08 024_22 278_55 359_19 008_30 085_31 230_48 030_01 280_49 088_43 064_54 357_41 0.98 11.90 F000.70 F001.22 F000.57 R359.87 F000.12 B000.00 F000.00 F000.02 359.95
1912-04-09 025_21 290_49 000_01 009_43 086_05 230_40 030_08 280_49 088_43 064_55 357_38 0.97 11.95 F000.75 F001.22 F000.58 R359.90 F000.13 R000.00 F000.03 F000.00 359.97
1912-04-10 026_19 302_46 000_46 010_56 086_40 230_34 030_16 280_49 088_45 064_55 357_36 0.95 12.10 F000.80 F001.23 F000.58 R359.90 F000.12 R000.00 F000.02 F000.03 359.92
1912-04-11 027_16 314_52 001_34 012_10 087_15 230_28 030_23 280_49 088_46 064_57 357_31 0.98 12.35 F000.88 F001.23 F000.57 R359.90 F000.13 R000.00 F000.02 F000.02 359.95
