2003-02-31 345_58 325_55 355_16 309_58 262_36 104_10 059_28 307_08 288_43 236_01 038_25 0.97 12.15 F002.00 F001.20 F000.62 R000.00 F000.05 F000.03 F000.03 R000.00 359.95
2003-03-01 346_56 338_04 357_16 311_10 263_13 104_10 059_31 307_10 288_45 236_01 038_22 0.98 12.00 F001.95 F001.20 F000.60 R000.00 F000.08 F000.05 F000.02 R000.00 359.95
2003-03-02 347_55 350_04 359_13 312_22 263_49 104_10 059_36 307_13 288_46 236_01 038_19 1.00 11.90 F001.95 F001.20 F000.65 R000.00 F000.07 F000.05 F000.03 R000.00 359.93
2003-03-03 348_55 001_58 001_10 313_34 264_28 104_10 059_40 307_16 288_48 236_01 038_15 1.00 11.83 F001.93 F001.20 F000.60 R000.00 F000.05 F000.05 F000.02 R000.00 359.95
2003-03-04 349_55 013_48 003_06 314_46 265_04 104_10 059_43 307_19 288_49 236_01 038_12 0.97 11.77 F001.87 F001.23 F000.62 E000.00 F000.07 F000.05 F000.00 R359.98 359.93
2003-03-05 350_53 025_34 004_58 316_00 265_41 104_10 059_47 307_22 288_49 236_00 038_08 0.98 11.80 F001.82 F001.18 F000.63 F000.00 F000.08 F000.05 F000.05 R000.00 359.97
2003-03-06 351_52 037_22 006_47 317_11 266_19 104_10 059_52 307_25 288_52 236_00 038_06 1.00 11.85 F001.78 F001.20 F000.62 F000.00 F000.08 F000.05 F000.00 R359.97 359.93
2003-03-07 352_52 049_13 008_34 318_23 266_56 104_10 059_57 307_28 288_52 235_58 038_02 0.98 12.00 F001.73 F001.22 F000.63 F000.00 F000.07 F000.05 F000.02 R000.00 359.93
2003-03-08 353_51 061_13 010_18 319_36 267_34 104_10 060_01 307_31 288_53 235_58 037_58 0.97 12.23 F001.62 F001.20 F000.60 F000.03 F000.08 F000.03 F000.03 R000.00 359.95
2003-03-09 354_49 073_27 011_55 320_48 268_10 104_12 060_06 307_33 288_55 235_58 037_55 1.00 12.52 F001.60 F001.22 F000.63 F000.02 F000.07 F000.05 F000.00 R000.00 359.95
