1943-03-20 005_58 180_07 022_03 041_52 308_52 084_25 046_57 039_31 156_52 101_50 118_40 0.98 13.60 F001.72 F001.17 F000.75 F000.10 F000.12 F000.05 R359.97 F000.00 359.95
1943-03-21 006_57 193_43 023_46 043_02 309_37 084_31 047_04 039_34 156_50 101_50 118_37 0.97 13.87 F001.67 F001.18 F000.75 F000.13 F000.10 F000.05 R359.98 F000.03 359.95
1943-03-22 007_55 207_35 025_26 044_13 310_22 084_39 047_10 039_37 156_49 101_52 118_34 0.98 14.08 F001.62 F001.20 F000.75 F000.12 F000.10 F000.05 R359.98 F000.00 359.95
1943-03-23 008_54 221_40 027_03 045_25 311_07 084_46 047_16 039_40 156_48 101_52 118_31 0.97 14.20 F001.55 F001.15 F000.75 F000.10 F000.12 F000.05 R359.97 F000.00 359.95
1943-03-24 009_52 235_52 028_36 046_34 311_52 084_52 047_23 039_43 156_46 101_52 118_28 0.97 14.22 F001.47 F001.20 F000.77 F000.13 F000.12 F000.05 R000.00 F000.00 359.95
1943-03-25 010_50 250_05 030_04 047_46 312_38 085_00 047_30 039_46 156_46 101_52 118_25 0.98 14.23 F001.37 F001.15 F000.75 F000.12 F000.12 F000.05 R359.95 F000.00 359.92
1943-03-26 011_49 264_19 031_26 048_55 313_23 085_07 047_37 039_49 156_43 101_52 118_20 0.98 14.15 F001.33 F001.20 F000.75 F000.15 F000.10 F000.05 R000.00 F000.00 359.95
1943-03-27 012_48 278_28 032_46 050_07 314_08 085_16 047_43 039_52 156_43 101_52 118_17 0.97 14.10 F001.25 F001.15 F000.75 F000.10 F000.13 F000.08 R359.97 F000.00 359.97
1943-03-28 013_46 292_34 034_01 051_16 314_53 085_22 047_51 039_57 156_41 101_52 118_15 0.95 14.00 F001.15 F001.18 F000.78 F000.15 F000.12 F000.05 R359.98 F000.00 359.95
1943-03-29 014_43 306_34 035_10 052_27 315_40 085_31 047_58 040_00 156_40 101_52 118_12 1.00 13.90 F001.10 F001.17 F000.75 F000.13 F000.10 F000.03 R359.98 F000.00 359.95
1943-03-30 015_43 320_28 036_16 053_37 316_25 085_39 048_04 040_02 156_39 101_52 118_09 0.95 13.80 F001.00 F001.15 F000.75 F000.13 F000.13 F000.07 R359.97 F000.03 359.92
1943-04-01 016_40 334_16 037_16 054_46 317_10 085_47 048_12 040_06 156_37 101_54 118_04 0.97 13.65 F000.90 F001.18 F000.75 F000.13 F000.12 F000.07 R000.00 F000.00 359.95
1943-04-02 017_38 347_55 038_10 055_57 317_55 085_55 048_19 040_10 156_37 101_54 118_01 0.98 13.47 F000.85 F001.17 F000.75 F000.15 F000.10 F000.05 R359.97 F000.00 359.95
1943-04-03 018_37 001_23 039_01 057_07 318_40 086_04 048_25 040_13 156_35 101_54 117_58 0.98 13.28 F000.75 F001.15 F000.75 F000.15 F000.12 F000.05 R359.98 F000.02 359.95
1943-04-04 019_36 014_40 039_46 058_16 319_25 086_13 048_32 040_16 156_34 101_55 117_55 0.97 13.05 F000.65 F001.18 F000.75 F000.12 F000.13 F000.05 R000.00 F000.00 359.95
1943-04-05 020_34 027_43 040_25 059_27 320_10 086_20 048_40 040_19 156_34 101_55 117_52 0.95 12.75 F000.60 F001.15 F000.75 F000.17 F000.12 F000.05 R359.98 F000.00 359.95
1943-04-06 021_31 040_28 041_01 060_36 320_55 086_30 048_47 040_22 156_33 101_55 117_49 0.98 12.53 F000.48 F001.15 F000.75 F000.15 F000.13 F000.05 R359.97 F000.00 359.95
1943-04-07 022_30 053_00 041_30 061_45 321_40 086_39 048_55 040_25 156_31 101_55 117_46 0.97 12.27 F000.38 F001.17 F000.75 F000.13 F000.10 F000.08 R000.00 F000.03 359.95
1943-04-08 023_28 065_16 041_53 062_55 322_25 086_47 049_01 040_30 156_31 101_57 117_43 0.95 12.05 F000.33 F001.15 F000.75 F000.17 F000.12 F000.03 R359.98 F000.00 359.95
1943-04-09 024_25 077_19 042_13 064_04 323_10 086_57 049_08 040_32 156_30 101_57 117_40 0.97 11.90 F000.23 F001.15 F000.75 F000.13 F000.13 F000.08 R359.97 F000.02 359.95
1943-04-10 025_23 089_13 042_27 065_13 323_55 087_05 049_16 040_37 156_28 101_58 117_37 0.98 11.80 F000.15 F001.15 F000.75 F000.18 F000.12 F000.05 R000.00 F000.00 359.95
1943-04-11 026_22 101_01 042_36 066_22 324_40 087_16 049_23 040_40 156_28 101_58 117_34 0.95 11.82 F000.03 F001.15 F000.75 F000.15 F000.13 F000.05 R359.97 F000.00 359.95
1943-04-12 027_19 112_50 042_38 067_31 325_25 087_25 049_31 040_43 156_26 101_58 117_31 0.98 11.92 B359.98 F001.13 F000.75 F000.15 F000.12 F000.05 R359.98 F000.03 359.93
1943-04-13 028_18 124_45 042_37 068_39 326_10 087_34 049_38 040_46 156_25 102_00 117_27 0.97 12.07 R359.90 F001.13 F000.75 F000.15 F000.13 F000.05 R000.00 F000.00 359.95
1943-04-14 029_16 136_49 042_31 069_47 326_55 087_43 049_46 040_49 156_25 102_00 117_24 0.95 12.35 R359.83 F001.13 F000.75 F000.18 F000.12 F000.07 R359.98 F000.02 359.93
1943-04-15 030_13 149_10 042_21 070_55 327_40 087_54 049_53 040_53 156_24 102_01 117_20 0.97 12.70 R359.75 F001.15 F000.75 F000.17 F000.13 F000.07 R359.97 F000.00 359.95
