2067-01-23 309_38 061_55 287_21 270_19 247_20 251_54 133_01 225_18 066_46 334_06 241_35 1.03 11.80 F000.12 F001.20 F000.68 F000.17 R359.92 F000.02 R000.00 F000.02 359.97
2067-01-24 310_40 073_43 287_28 271_31 248_01 252_04 132_56 225_19 066_46 334_07 241_33 1.00 11.80 F000.25 F001.20 F000.70 F000.15 R359.93 F000.00 R000.00 F000.02 359.95
2067-01-25 311_40 085_31 287_43 272_43 248_43 252_13 132_52 225_19 066_46 334_08 241_30 1.00 11.80 F000.33 F001.20 F000.65 F000.18 R359.90 F000.02 R000.00 F000.03 359.92
2067-01-26 312_40 097_19 288_03 273_55 249_22 252_24 132_46 225_20 066_46 334_10 241_25 1.00 11.90 F000.42 F001.20 F000.70 F000.17 R359.92 F000.03 R359.98 F000.02 359.95
2067-01-27 313_40 109_13 288_28 275_07 250_04 252_34 132_41 225_22 066_45 334_11 241_22 1.00 12.05 F000.50 F001.20 F000.68 F000.15 R359.93 F000.00 R000.00 F000.03 359.95
2067-01-28 314_40 121_16 288_58 276_19 250_45 252_43 132_37 225_22 066_45 334_13 241_19 1.00 12.20 F000.60 F001.20 F000.67 F000.15 R359.93 F000.03 R359.97 F000.00 359.95
2067-02-01 315_40 133_28 289_34 277_31 251_25 252_52 132_33 225_24 066_43 334_13 241_16 1.02 12.35 F000.65 F001.20 F000.67 F000.15 R359.92 F000.00 R000.00 F000.05 359.95
2067-02-02 316_41 145_49 290_13 278_43 252_05 253_01 132_28 225_24 066_43 334_16 241_13 1.00 12.58 F000.75 F001.20 F000.68 F000.17 R359.90 F000.02 R000.00 F000.00 359.95
2067-02-03 317_41 158_24 290_58 279_55 252_46 253_11 132_22 225_25 066_43 334_16 241_10 1.00 12.72 F000.78 F001.20 F000.67 F000.15 R359.93 F000.00 R000.00 F000.05 359.95
2067-02-04 318_41 171_07 291_45 281_07 253_26 253_20 132_18 225_25 066_43 334_19 241_07 1.00 12.93 F000.82 F001.20 F000.68 F000.17 R359.92 F000.00 R000.00 F000.00 359.95
