2057-03-12 357_55 085_37 354_34 322_10 097_55 312_52 000_37 177_28 045_10 323_56 072_34 1.00 12.15 R359.23 F000.33 F000.33 F000.20 F000.13 R359.95 F000.03 F000.03 359.95
2057-03-13 358_55 097_46 353_48 322_30 098_15 313_04 000_45 177_25 045_12 323_58 072_31 0.97 12.40 R359.27 F000.35 F000.33 F000.20 F000.12 R359.95 F000.02 F000.03 359.95
2057-03-14 359_53 110_10 353_04 322_51 098_35 313_16 000_52 177_22 045_13 324_00 072_28 0.98 12.83 R359.32 F000.40 F000.38 F000.20 F000.13 R359.97 F000.03 F000.02 359.95
2057-03-15 000_52 123_00 352_23 323_15 098_58 313_28 001_00 177_20 045_15 324_01 072_25 0.98 13.22 R359.38 F000.38 F000.35 F000.20 F000.12 R359.97 F000.02 F000.03 359.92
2057-03-16 001_51 136_13 351_46 323_38 099_19 313_40 001_07 177_18 045_16 324_03 072_20 0.97 13.70 R359.42 F000.47 F000.35 F000.20 F000.13 R359.95 F000.02 F000.02 359.95
2057-03-17 002_49 149_55 351_11 324_06 099_40 313_52 001_15 177_15 045_17 324_04 072_17 1.00 14.15 R359.48 F000.47 F000.40 F000.18 F000.12 R359.97 F000.03 F000.00 359.97
2057-03-18 003_49 164_04 350_40 324_34 100_04 314_03 001_22 177_13 045_19 324_04 072_15 0.95 14.50 R359.60 F000.50 F000.35 F000.20 F000.15 R359.95 F000.05 F000.03 359.95
2057-03-19 004_46 178_34 350_16 325_04 100_25 314_15 001_31 177_10 045_22 324_06 072_12 1.00 14.77 R359.65 F000.50 F000.40 F000.17 F000.10 R359.95 F000.02 F000.02 359.95
2057-03-20 005_46 193_20 349_55 325_34 100_49 314_25 001_37 177_07 045_23 324_07 072_09 0.95 14.92 R359.72 F000.55 F000.38 F000.20 F000.15 R359.95 F000.03 F000.02 359.93
2057-03-21 006_43 208_15 349_38 326_07 101_12 314_37 001_46 177_04 045_25 324_08 072_05 1.00 14.87 R359.83 F000.55 F000.37 F000.20 F000.10 R359.98 F000.03 F000.03 359.93
2057-03-22 007_43 223_07 349_28 326_40 101_34 314_49 001_52 177_03 045_27 324_10 072_01 0.95 14.75 R359.90 F000.60 F000.40 F000.18 F000.15 R359.95 F000.02 F000.00 359.95
2057-03-23 008_40 237_52 349_22 327_16 101_58 315_00 002_01 177_00 045_28 324_10 071_58 1.00 14.50 E359.98 F000.60 F000.40 F000.18 F000.12 R359.97 F000.05 F000.05 359.95
2057-03-24 009_40 252_22 349_21 327_52 102_22 315_11 002_08 176_58 045_31 324_13 071_55 0.95 14.20 F000.07 F000.65 F000.40 F000.18 F000.13 R359.95 F000.02 F000.00 359.95
2057-03-25 010_37 266_34 349_25 328_31 102_46 315_22 002_16 176_55 045_32 324_13 071_52 1.00 13.90 F000.15 F000.65 F000.43 F000.20 F000.12 R359.95 F000.03 F000.03 359.95
2057-03-26 011_37 280_28 349_34 329_10 103_12 315_34 002_23 176_52 045_34 324_15 071_49 0.95 13.60 F000.23 F000.65 F000.38 F000.18 F000.13 R359.95 F000.05 F000.02 359.95
2057-03-27 012_34 294_04 349_48 329_49 103_35 315_45 002_31 176_49 045_37 324_16 071_46 1.00 13.35 F000.32 F000.70 F000.43 F000.17 F000.12 R359.98 F000.02 F000.00 359.95
2057-03-28 013_34 307_25 350_07 330_31 104_01 315_55 002_38 176_48 045_38 324_16 071_43 0.95 13.05 F000.38 F000.70 F000.40 F000.18 F000.13 R359.95 F000.03 F000.03 359.95
2057-03-29 014_31 320_28 350_30 331_13 104_25 316_06 002_46 176_45 045_40 324_18 071_40 0.98 12.85 F000.43 F000.70 F000.45 F000.17 F000.12 R359.97 F000.05 F000.02 359.95
2057-03-30 015_30 333_19 350_56 331_55 104_52 316_16 002_53 176_43 045_43 324_19 071_37 0.97 12.65 F000.53 F000.75 F000.40 F000.17 F000.13 R359.95 F000.03 F000.00 359.95
2057-04-01 016_28 345_58 351_28 332_40 105_16 316_26 003_01 176_40 045_45 324_19 071_34 0.97 12.45 F000.60 F000.75 F000.45 F000.18 F000.12 R359.95 F000.02 F000.03 359.95
2057-04-02 017_26 358_25 352_04 333_25 105_43 316_37 003_08 176_37 045_46 324_21 071_31 0.98 12.30 F000.65 F000.75 F000.43 F000.18 F000.13 R359.97 F000.05 F000.02 359.93
2057-04-03 018_25 010_43 352_43 334_10 106_09 316_48 003_16 176_35 045_49 324_22 071_27 0.95 12.10 F000.72 F000.80 F000.43 F000.17 F000.12 R359.98 F000.03 F000.02 359.95
2057-04-04 019_22 022_49 353_26 334_58 106_35 316_58 003_23 176_34 045_51 324_23 071_24 0.98 11.97 F000.78 F000.78 F000.43 F000.15 F000.13 R359.95 F000.02 F000.03 359.93
2057-04-05 020_21 034_47 354_13 335_45 107_01 317_07 003_31 176_31 045_52 324_25 071_20 0.97 11.88 F000.85 F000.80 F000.45 F000.18 F000.12 R359.95 F000.05 F000.00 359.95
2057-04-06 021_19 046_40 355_04 336_33 107_28 317_18 003_38 176_28 045_55 324_25 071_17 0.98 11.80 F000.90 F000.82 F000.45 F000.17 F000.13 R359.97 F000.03 F000.02 359.97
2057-04-07 022_18 058_28 355_58 337_22 107_55 317_28 003_46 176_26 045_57 324_26 071_15 0.97 11.78 F000.92 F000.82 F000.45 F000.15 F000.10 R359.98 F000.02 F000.00 359.95
2057-04-08 023_16 070_15 356_53 338_11 108_22 317_37 003_52 176_25 045_58 324_26 071_12 0.95 11.82 F001.00 F000.87 F000.45 F000.15 F000.15 R359.95 F000.05 F000.03 359.92
2057-04-09 024_13 082_04 357_53 339_03 108_49 317_46 004_01 176_22 046_01 324_28 071_07 0.97 11.90 F001.05 F000.83 F000.47 F000.15 F000.10 R359.95 F000.05 F000.00 359.95
2057-04-10 025_11 093_58 358_56 339_53 109_17 317_55 004_07 176_19 046_04 324_28 071_04 0.98 12.15 F001.08 F000.87 F000.48 F000.18 F000.13 R359.98 F000.03 F000.03 359.95
2057-04-11 026_10 106_07 000_01 340_45 109_46 318_06 004_15 176_18 046_06 324_30 071_01 0.95 12.40 F001.15 F000.87 F000.45 F000.15 F000.12 R359.97 F000.02 F000.02 359.95
2057-04-12 027_07 118_31 001_10 341_37 110_13 318_15 004_22 176_16 046_07 324_31 070_58 0.98 12.75 F001.18 F000.90 F000.48 F000.13 F000.13 R359.95 F000.05 F000.00 359.95
2057-04-13 028_06 131_16 002_21 342_31 110_42 318_23 004_30 176_13 046_10 324_31 070_55 0.97 13.17 F001.22 F000.87 F000.47 F000.17 F000.12 R359.97 F000.03 F000.03 359.95
2057-04-14 029_04 144_26 003_34 343_23 111_10 318_33 004_37 176_11 046_12 324_33 070_52 0.95 13.65 F001.27 F000.92 F000.48 F000.13 F000.10 R359.98 F000.02 F000.02 359.95
2057-04-15 030_01 158_05 004_50 344_18 111_39 318_41 004_43 176_10 046_13 324_34 070_49 0.95 14.13 F001.32 F000.92 F000.47 F000.13 F000.12 R359.95 F000.05 F000.00 359.95
