1910-03-06 352_43 299_10 352_46 307_52 051_22 166_19 002_13 272_22 083_57 062_22 038_07 0.97 14.20 F002.05 F000.80 F000.63 R359.85 F000.13 F000.02 F000.02 F000.00 359.95
1910-03-07 353_41 313_22 354_49 308_40 052_00 166_10 002_21 272_23 083_58 062_22 038_04 0.98 14.65 F002.10 F000.85 F000.62 R359.90 F000.12 F000.03 F000.00 F000.02 359.95
1910-03-08 354_40 328_01 356_55 309_31 052_37 166_04 002_28 272_25 083_58 062_23 038_01 1.00 14.98 F002.08 F000.85 F000.60 R359.85 F000.15 F000.00 F000.00 F000.03 359.95
1910-03-09 355_40 343_00 359_00 310_22 053_13 165_55 002_37 272_25 083_58 062_25 037_58 0.97 15.17 F002.07 F000.85 F000.63 R359.90 F000.10 F000.02 F000.00 F000.00 359.95
1910-03-10 356_38 358_10 001_04 311_13 053_51 165_49 002_43 272_26 083_58 062_25 037_55 0.98 15.20 F002.10 F000.85 F000.62 R359.85 F000.15 F000.03 F000.00 F000.00 359.95
1910-03-11 357_37 013_22 003_10 312_04 054_28 165_40 002_52 272_28 083_58 062_25 037_52 0.98 15.07 F002.10 F000.87 F000.60 R359.90 F000.10 F000.00 F000.03 F000.03 359.95
1910-03-12 358_36 028_26 005_16 312_56 055_04 165_34 002_58 272_28 084_00 062_27 037_49 0.97 14.82 F002.10 F000.88 F000.65 R359.87 F000.15 F000.03 F000.00 F000.02 359.95
1910-03-13 359_34 043_15 007_22 313_49 055_43 165_26 003_07 272_30 084_00 062_28 037_46 1.00 14.42 F002.05 F000.90 F000.60 R359.88 F000.13 F000.02 F000.02 F000.00 359.95
1910-03-14 000_34 057_40 009_25 314_43 056_19 165_19 003_15 272_31 084_01 062_28 037_43 0.98 14.03 F002.05 F000.90 F000.63 R359.87 F000.12 F000.00 F000.00 F000.00 359.92
1910-03-15 001_33 071_42 011_28 315_37 056_57 165_11 003_22 272_31 084_01 062_28 037_38 0.97 13.58 F002.03 F000.90 F000.62 R359.88 F000.13 F000.00 F000.00 F000.03 359.97
1910-03-16 002_31 085_17 013_30 316_31 057_34 165_04 003_30 272_31 084_01 062_30 037_36 0.98 13.23 F002.00 F000.92 F000.60 R359.90 F000.12 F000.03 F000.02 F000.02 359.93
1910-03-17 003_30 098_31 015_30 317_26 058_10 164_58 003_37 272_33 084_02 062_31 037_32 0.97 12.88 F001.97 F000.93 F000.62 R359.87 F000.13 F000.02 F000.00 F000.00 359.97
1910-03-18 004_28 111_24 017_28 318_22 058_47 164_50 003_45 272_34 084_02 062_31 037_30 0.98 12.60 F001.90 F000.95 F000.63 R359.88 F000.12 F000.00 F000.03 F000.00 359.95
1910-03-19 005_27 124_00 019_22 319_19 059_25 164_43 003_52 272_34 084_04 062_31 037_27 0.97 12.33 F001.90 F000.95 F000.62 R359.90 F000.13 F000.00 F000.00 F000.02 359.93
1910-03-20 006_25 136_20 021_16 320_16 060_02 164_37 004_00 272_34 084_04 062_32 037_23 1.00 12.17 F001.80 F000.95 F000.63 R359.90 F000.12 F000.00 F000.00 F000.03 359.93
1910-03-21 007_25 148_30 023_04 321_13 060_40 164_31 004_07 272_34 084_04 062_34 037_19 0.95 12.02 F001.78 F000.95 F000.60 R359.88 F000.15 F000.03 F000.02 F000.00 359.95
1910-03-22 008_22 160_31 024_51 322_10 061_16 164_24 004_16 272_36 084_05 062_34 037_16 1.00 11.92 F001.72 F000.97 F000.62 R359.90 F000.10 F000.00 F000.03 F000.03 359.95
1910-03-23 009_22 172_26 026_34 323_08 061_53 164_18 004_22 272_36 084_07 062_36 037_13 0.95 11.83 F001.65 F000.98 F000.63 R359.87 F000.15 F000.02 F000.00 F000.02 359.95
1910-03-24 010_19 184_16 028_13 324_07 062_31 164_10 004_31 272_37 084_07 062_37 037_10 0.98 11.82 F001.58 F000.98 F000.62 R359.90 F000.10 F000.00 F000.03 F000.00 359.95
1910-03-25 011_18 196_05 029_48 325_06 063_08 164_04 004_37 272_37 084_09 062_37 037_07 0.97 11.83 F001.50 F000.97 F000.63 R359.90 F000.15 F000.00 F000.02 F000.02 359.95
1910-03-26 012_16 207_55 031_18 326_04 063_46 163_58 004_46 272_37 084_10 062_38 037_04 0.98 11.85 F001.45 F001.00 F000.60 R359.90 F000.13 F000.00 F000.00 F000.03 359.95
1910-03-27 013_15 219_46 032_45 327_04 064_22 163_52 004_54 272_37 084_10 062_40 037_01 0.97 11.90 F001.37 F001.00 F000.63 R359.90 F000.12 F000.00 F000.03 F000.00 359.95
1910-03-28 014_13 231_40 034_07 328_04 065_00 163_46 005_01 272_37 084_12 062_40 036_58 0.97 12.08 F001.30 F001.00 F000.62 R359.90 F000.13 F000.00 F000.02 F000.03 359.95
1910-03-29 015_11 243_45 035_25 329_04 065_37 163_40 005_09 272_37 084_13 062_42 036_55 0.98 12.22 F001.20 F001.00 F000.63 R359.92 F000.12 F000.00 F000.00 F000.02 359.95
1910-03-30 016_10 255_58 036_37 330_04 066_15 163_35 005_16 272_37 084_13 062_43 036_52 0.95 12.50 F001.15 F001.03 F000.62 R359.92 F000.13 B000.00 F000.03 F000.00 359.95
1910-04-01 017_07 268_28 037_46 331_06 066_52 163_30 005_24 272_37 084_15 062_43 036_49 0.98 12.83 F001.05 F001.02 F000.60 R359.92 F000.12 R000.00 F000.02 F000.03 359.93
1910-04-02 018_06 281_18 038_49 332_07 067_28 163_25 005_31 272_37 084_16 062_45 036_45 0.97 13.17 F001.00 F001.02 F000.62 R359.90 F000.13 R000.00 F000.00 F000.02 359.95
1910-04-03 019_04 294_28 039_49 333_08 068_05 163_19 005_39 272_37 084_16 062_46 036_42 0.98 13.60 F000.90 F001.03 F000.63 R359.93 F000.12 R000.00 F000.02 F000.00 359.93
1910-04-04 020_03 308_04 040_43 334_10 068_43 163_15 005_46 272_37 084_17 062_46 036_38 0.97 14.03 F000.82 F001.05 F000.62 R359.92 F000.13 R000.00 F000.03 F000.02 359.97
1910-04-05 021_01 322_06 041_32 335_13 069_20 163_10 005_54 272_37 084_19 062_47 036_36 0.95 14.45 F000.73 F001.03 F000.63 R359.90 F000.12 R000.00 F000.00 F000.03 359.93
1910-04-06 021_58 336_33 042_16 336_15 069_58 163_04 006_01 272_37 084_19 062_49 036_32 0.97 14.80 F000.65 F001.05 F000.60 R359.93 F000.13 R359.98 F000.05 F000.00 359.97
1910-04-07 022_56 351_21 042_55 337_18 070_34 163_00 006_09 272_36 084_22 062_49 036_30 0.98 15.07 F000.60 F001.02 F000.63 R359.92 F000.12 R000.00 F000.00 F000.03 359.92
1910-04-08 023_55 006_25 043_31 338_19 071_12 162_55 006_16 272_36 084_22 062_51 036_25 0.95 15.18 F000.48 F001.07 F000.62 R359.95 F000.13 R000.00 F000.03 F000.02 359.95
1910-04-09 024_52 021_36 044_00 339_23 071_49 162_52 006_24 272_36 084_24 062_52 036_22 0.98 15.12 F000.38 F001.05 F000.63 R359.93 F000.12 R359.97 F000.02 F000.02 359.95
1910-04-10 025_51 036_43 044_23 340_26 072_27 162_48 006_31 272_34 084_25 062_53 036_19 0.97 14.95 F000.32 F001.07 F000.62 R359.92 F000.10 R000.00 F000.03 F000.03 359.95
1910-04-11 026_49 051_40 044_42 341_30 073_04 162_43 006_37 272_34 084_27 062_55 036_16 0.95 14.62 F000.22 F001.07 F000.60 R359.95 F000.15 R000.00 F000.02 F000.00 359.95
1910-04-12 027_46 066_17 044_55 342_34 073_40 162_40 006_46 272_34 084_28 062_55 036_13 0.98 14.23 F000.15 F001.05 F000.62 R359.92 F000.10 R000.00 F000.03 F000.03 359.95
1910-04-13 028_45 080_31 045_04 343_37 074_17 162_35 006_52 272_34 084_30 062_57 036_10 0.97 13.75 F000.05 F001.07 F000.63 R359.97 F000.13 R359.98 F000.02 F000.02 359.95
1910-04-14 029_43 094_16 045_07 344_41 074_55 162_33 007_00 272_33 084_31 062_58 036_07 0.95 13.35 B000.00 F001.08 F000.62 R359.95 F000.12 R359.97 F000.02 F000.03 359.95
1910-04-15 030_40 107_37 045_07 345_46 075_32 162_30 007_07 272_31 084_32 063_00 036_04 0.97 12.95 R359.90 F001.08 F000.63 R359.92 F000.13 R000.00 F000.03 F000.02 359.95
