1956-03-02 348_58 244_28 344_37 034_21 268_22 118_37 219_11 094_58 186_16 123_09 227_58 1.00 11.83 F002.00 F001.03 F000.65 R359.95 R359.98 R000.00 R359.98 R359.97 359.95
1956-03-03 349_58 256_18 346_37 035_23 269_01 118_34 219_10 094_58 186_15 123_07 227_55 0.97 11.82 F002.02 F001.03 F000.65 R359.95 R359.95 R000.00 R359.97 R000.00 359.95
1956-03-04 350_56 268_07 348_38 036_25 269_40 118_31 219_07 094_58 186_13 123_07 227_52 0.98 11.90 F002.03 F001.05 F000.65 R359.95 R359.97 R000.00 R359.95 R359.97 359.95
1956-03-05 351_55 280_01 350_40 037_28 270_19 118_28 219_05 094_58 186_10 123_05 227_49 1.00 12.05 F002.05 F001.00 F000.65 R359.98 R359.98 E000.00 R000.00 R359.98 359.95
1956-03-06 352_55 292_04 352_43 038_28 270_58 118_27 219_04 094_58 186_10 123_04 227_46 0.97 12.28 F002.08 F001.03 F000.65 R359.97 R359.95 F000.00 R359.95 R000.00 359.95
1956-03-07 353_53 304_21 354_48 039_30 271_37 118_25 219_01 094_58 186_07 123_04 227_43 0.98 12.53 F002.07 F001.02 F000.65 R359.95 R359.95 F000.00 R000.00 R359.97 359.93
1956-03-08 354_52 316_53 356_52 040_31 272_16 118_22 218_58 094_58 186_07 123_02 227_39 1.00 12.88 F002.10 F001.00 F000.65 R359.97 R359.95 F000.00 R359.95 R000.00 359.93
1956-03-09 355_52 329_46 358_58 041_31 272_55 118_20 218_55 094_58 186_04 123_02 227_35 0.98 13.17 F002.10 F001.00 F000.63 R359.98 R359.95 F000.00 R359.98 R359.98 359.97
1956-03-10 356_51 342_56 001_04 042_31 273_33 118_19 218_52 094_58 186_03 123_01 227_33 0.97 13.48 F002.10 F001.00 F000.63 R359.97 R359.97 F000.00 R359.97 R000.00 359.95
1956-03-11 357_49 356_25 003_10 043_31 274_11 118_17 218_50 094_58 186_01 123_01 227_30 1.00 13.75 F002.08 F000.98 F000.63 R359.98 R359.97 F000.00 R359.98 R359.98 359.93
1956-03-12 358_49 010_10 005_15 044_30 274_49 118_16 218_48 094_58 186_00 123_00 227_26 0.98 13.95 F002.08 F000.97 F000.65 R000.00 R359.95 F000.03 R359.97 R000.00 359.93
1956-03-13 359_48 024_07 007_20 045_28 275_28 118_16 218_45 095_00 185_58 123_00 227_22 0.97 14.10 F002.08 F001.00 F000.65 R359.98 R359.93 F000.00 R359.97 R359.97 359.95
1956-03-14 000_46 038_13 009_25 046_28 276_07 118_15 218_41 095_00 185_56 122_58 227_19 0.98 14.15 F002.05 F000.95 F000.65 R000.00 R359.97 F000.00 R359.98 R000.00 359.95
1956-03-15 001_45 052_22 011_28 047_25 276_46 118_15 218_39 095_00 185_55 122_58 227_16 0.97 14.22 F002.03 F000.95 F000.62 R359.97 R359.93 F000.02 R359.98 R000.00 359.95
1956-03-16 002_43 066_35 013_30 048_22 277_23 118_13 218_35 095_01 185_54 122_58 227_13 0.98 14.20 F002.02 F000.95 F000.63 R000.00 R359.93 F000.00 R359.97 R359.98 359.95
1956-03-17 003_42 080_47 015_31 049_19 278_01 118_13 218_31 095_01 185_52 122_57 227_10 0.97 14.18 F001.95 F000.95 F000.65 E000.00 R359.95 F000.00 R359.95 R359.97 359.95
1956-03-18 004_40 094_58 017_28 050_16 278_40 118_13 218_28 095_01 185_49 122_55 227_07 1.00 14.10 F001.95 F000.93 F000.65 F000.00 R359.95 F000.02 R000.00 R000.00 359.95
1956-03-19 005_40 109_04 019_25 051_12 279_19 118_13 218_25 095_02 185_49 122_55 227_04 0.95 14.02 F001.88 F000.92 F000.62 F000.03 R359.95 F000.03 R359.95 R000.00 359.95
1956-03-20 006_37 123_05 021_18 052_07 279_56 118_15 218_22 095_04 185_46 122_55 227_01 1.00 13.92 F001.82 F000.90 F000.63 F000.00 R359.95 F000.00 R359.98 R000.00 359.95
1956-03-21 007_37 137_00 023_07 053_01 280_34 118_15 218_19 095_04 185_45 122_55 226_58 0.95 13.72 F001.80 F000.90 F000.65 F000.02 R359.93 F000.00 R359.97 R359.98 359.95
1956-03-22 008_34 150_43 024_55 053_55 281_13 118_16 218_15 095_04 185_43 122_54 226_55 1.00 13.55 F001.70 F000.90 F000.63 F000.00 R359.93 F000.02 R359.97 R000.00 359.95
1956-03-23 009_34 164_16 026_37 054_49 281_51 118_16 218_11 095_05 185_41 122_54 226_52 0.95 13.32 F001.68 F000.88 F000.62 F000.02 R359.93 F000.03 R359.98 R000.00 359.95
1956-03-24 010_31 177_35 028_18 055_42 282_28 118_17 218_07 095_07 185_40 122_54 226_49 1.00 13.08 F001.57 F000.87 F000.65 F000.03 R359.95 F000.00 R359.98 R359.97 359.93
1956-03-25 011_31 190_40 029_52 056_34 283_07 118_19 218_04 095_07 185_39 122_52 226_45 0.95 12.80 F001.55 F000.85 F000.63 F000.02 R359.95 F000.03 R359.97 R000.00 359.93
1956-03-26 012_28 203_28 031_25 057_25 283_45 118_20 218_01 095_09 185_37 122_52 226_41 0.97 12.55 F001.45 F000.85 F000.62 F000.03 R359.92 F000.02 R359.97 R000.00 359.97
1956-03-27 013_26 216_01 032_52 058_16 284_22 118_22 217_56 095_10 185_35 122_52 226_39 0.98 12.28 F001.40 F000.85 F000.63 F000.03 R359.93 F000.03 R359.98 R000.00 359.93
1956-03-28 014_25 228_18 034_16 059_07 285_00 118_24 217_52 095_12 185_34 122_52 226_35 0.98 12.10 F001.30 F000.80 F000.62 F000.02 R359.95 F000.02 R359.95 R000.00 359.97
1956-03-29 015_24 240_24 035_34 059_55 285_37 118_25 217_49 095_13 185_31 122_52 226_33 0.97 11.92 F001.25 F000.83 F000.63 F000.05 R359.93 F000.00 R000.00 R000.00 359.92
1956-03-30 016_22 252_19 036_49 060_45 286_15 118_28 217_45 095_13 185_31 122_52 226_28 0.95 11.85 F001.15 F000.77 F000.62 F000.05 R359.92 F000.03 R359.95 R000.00 359.95
