2050-03-25 010_26 055_38 359_31 038_21 273_03 091_42 283_55 142_25 030_28 315_43 207_24 0.98 12.82 R359.50 F001.22 F000.55 F000.08 F000.05 R359.98 F000.03 F000.00 359.92
2050-03-26 011_25 068_27 359_01 039_34 273_36 091_47 283_58 142_24 030_30 315_43 207_19 0.98 12.47 R359.60 F001.20 F000.53 F000.13 F000.03 R359.97 F000.05 F000.03 359.95
2050-03-27 012_24 080_55 358_37 040_46 274_08 091_55 284_00 142_22 030_33 315_45 207_16 0.97 12.23 R359.65 F001.20 F000.55 F000.10 F000.02 R359.97 F000.02 F000.02 359.95
2050-03-28 013_22 093_09 358_16 041_58 274_41 092_01 284_01 142_20 030_34 315_46 207_13 0.97 12.02 R359.75 F001.23 F000.57 F000.10 F000.05 R359.98 F000.05 F000.00 359.95
2050-03-29 014_20 105_10 358_01 043_12 275_15 092_07 284_04 142_19 030_37 315_46 207_10 0.98 11.92 R359.80 F001.18 F000.55 F000.13 F000.03 R359.98 F000.02 F000.03 359.95
2050-03-30 015_19 117_05 357_49 044_23 275_48 092_15 284_06 142_18 030_38 315_48 207_07 0.95 11.88 R359.90 F001.22 F000.52 F000.12 F000.02 R359.97 F000.03 F000.02 359.95
2050-04-01 016_16 128_58 357_43 045_36 276_19 092_22 284_07 142_16 030_40 315_49 207_04 0.98 11.90 E359.97 F001.22 F000.55 F000.10 F000.02 R000.00 F000.05 F000.00 359.95
2050-04-02 017_15 140_52 357_41 046_49 276_52 092_28 284_08 142_16 030_43 315_49 207_01 0.97 12.03 F000.07 F001.20 F000.55 F000.12 F000.03 R359.98 F000.05 F000.03 359.95
2050-04-03 018_13 152_54 357_45 048_01 277_25 092_35 284_10 142_15 030_46 315_51 206_58 0.97 12.17 F000.12 F001.20 F000.52 F000.13 F000.02 R359.97 F000.03 F000.02 359.95
2050-04-04 019_11 165_04 357_52 049_13 277_56 092_43 284_11 142_13 030_48 315_52 206_55 0.98 12.35 F000.23 F001.20 F000.53 F000.12 F000.03 R000.00 F000.02 F000.00 359.95
2050-04-05 020_10 177_25 358_06 050_25 278_28 092_50 284_13 142_13 030_49 315_52 206_52 0.95 12.60 F000.28 F001.20 F000.55 F000.13 F000.03 R359.97 F000.05 F000.00 359.95
2050-04-06 021_07 190_01 358_23 051_37 279_01 092_58 284_15 142_11 030_52 315_52 206_49 0.98 12.85 F000.37 F001.20 F000.50 F000.15 F000.02 R359.98 F000.05 F000.02 359.93
2050-04-07 022_06 202_52 358_45 052_49 279_31 093_07 284_16 142_10 030_55 315_53 206_45 0.97 13.10 F000.43 F001.20 F000.55 F000.13 F000.00 R000.00 F000.02 F000.03 359.93
2050-04-08 023_04 215_58 359_11 054_01 280_04 093_15 284_16 142_10 030_56 315_55 206_41 0.95 13.33 F000.50 F001.20 F000.50 F000.12 F000.03 R359.98 F000.03 F000.00 359.97
2050-04-09 024_01 229_18 359_41 055_13 280_34 093_22 284_18 142_09 030_58 315_55 206_39 0.98 13.57 F000.58 F001.20 F000.53 F000.15 F000.02 R359.97 F000.05 F000.00 359.93
2050-04-10 025_00 242_52 000_16 056_25 281_06 093_31 284_19 142_07 031_01 315_55 206_35 0.97 13.75 F000.65 F001.20 F000.52 F000.13 F000.00 R000.00 F000.05 F000.02 359.97
2050-04-11 025_58 256_37 000_55 057_37 281_37 093_39 284_19 142_07 031_04 315_56 206_33 0.95 13.95 F000.70 F001.20 F000.50 F000.13 F000.00 R000.00 F000.03 F000.03 359.92
2050-04-12 026_55 270_34 001_37 058_49 282_07 093_47 284_19 142_07 031_06 315_58 206_28 0.97 14.05 F000.75 F001.20 F000.50 F000.13 F000.03 R359.97 F000.02 F000.00 359.95
2050-04-13 027_53 284_37 002_22 060_01 282_37 093_55 284_21 142_05 031_07 315_58 206_25 0.98 14.20 F000.85 F001.20 F000.52 F000.15 F000.00 R000.00 F000.05 F000.00 359.95
2050-04-14 028_52 298_49 003_13 061_13 283_08 094_04 284_21 142_05 031_10 315_58 206_22 0.95 14.25 F000.87 F001.17 F000.50 F000.15 F000.02 R359.98 F000.05 F000.03 359.95
2050-04-15 029_49 313_04 004_05 062_23 283_38 094_13 284_22 142_04 031_13 316_00 206_19 0.98 14.28 F000.93 F001.22 F000.50 F000.15 F000.00 R000.00 F000.03 F000.00 359.95
