1942-02-31 346_36 146_46 327_49 301_06 051_01 052_43 032_22 034_34 155_09 100_28 139_04 0.97 13.90 F001.68 F000.87 F000.62 F000.15 F000.10 F000.05 R359.97 R000.00 359.95
1942-03-01 347_34 160_40 329_30 301_58 051_38 052_52 032_28 034_37 155_07 100_28 139_01 1.00 14.25 F001.68 F000.88 F000.62 F000.15 F000.10 F000.05 R359.97 R000.00 359.95
1942-03-02 348_34 174_55 331_11 302_51 052_15 053_01 032_34 034_40 155_05 100_28 138_58 0.98 14.50 F001.73 F000.87 F000.60 F000.15 F000.13 F000.05 R359.98 R359.98 359.95
1942-03-03 349_33 189_25 332_55 303_43 052_51 053_10 032_42 034_43 155_04 100_27 138_55 0.97 14.65 F001.75 F000.90 F000.60 F000.18 F000.08 F000.03 R359.98 R000.00 359.95
1942-03-04 350_31 204_04 334_40 304_37 053_27 053_21 032_47 034_45 155_03 100_27 138_52 1.00 14.65 F001.75 F000.90 F000.58 F000.15 F000.10 F000.03 R359.97 R000.00 359.95
1942-03-05 351_31 218_43 336_25 305_31 054_02 053_30 032_53 034_47 155_01 100_27 138_49 0.98 14.60 F001.80 F000.90 F000.60 F000.17 F000.13 F000.07 R359.98 R359.97 359.95
1942-03-06 352_30 233_19 338_13 306_25 054_38 053_40 033_01 034_51 155_00 100_25 138_46 0.97 14.40 F001.80 F000.95 F000.63 F000.15 F000.10 F000.03 R359.97 R000.00 359.95
1942-03-07 353_28 247_43 340_01 307_22 055_16 053_49 033_07 034_53 154_58 100_25 138_43 1.00 14.17 F001.85 F000.93 F000.60 F000.18 F000.10 F000.03 R359.95 R000.00 359.93
1942-03-08 354_28 261_53 341_52 308_18 055_52 054_00 033_13 034_55 154_55 100_25 138_39 0.97 13.93 F001.85 F000.92 F000.60 F000.17 F000.13 F000.05 R000.00 R000.00 359.93
1942-03-09 355_26 275_49 343_43 309_13 056_28 054_10 033_21 034_58 154_55 100_25 138_35 0.98 13.68 F001.88 F000.95 F000.60 F000.15 F000.10 F000.05 R359.95 R000.00 359.97
1942-03-10 356_25 289_30 345_36 310_10 057_04 054_19 033_27 035_01 154_52 100_25 138_33 1.00 13.38 F001.92 F000.95 F000.60 F000.18 F000.12 F000.05 R000.00 R000.00 359.95
1942-03-11 357_25 302_53 347_31 311_07 057_40 054_30 033_34 035_04 154_52 100_25 138_30 0.97 13.18 F001.92 F000.98 F000.60 F000.17 F000.10 F000.05 R359.95 R000.00 359.93
1942-03-12 358_23 316_04 349_26 312_06 058_16 054_40 033_40 035_07 154_49 100_25 138_26 0.98 12.98 F001.98 F000.97 F000.60 F000.18 F000.12 F000.05 R000.00 R000.00 359.93
1942-03-13 359_22 329_03 351_25 313_04 058_52 054_51 033_47 035_10 154_49 100_25 138_22 1.00 12.75 F001.97 F000.98 F000.63 F000.17 F000.13 F000.05 R359.95 R000.00 359.95
1942-03-14 000_22 341_48 353_23 314_03 059_30 055_01 033_55 035_13 154_46 100_25 138_19 0.98 12.57 F002.00 F000.97 F000.60 F000.18 F000.10 F000.05 R000.00 R000.00 359.95
1942-03-15 001_21 354_22 355_23 315_01 060_06 055_12 034_01 035_16 154_46 100_25 138_16 0.97 12.42 F002.03 F001.00 F000.60 F000.17 F000.12 F000.05 R359.98 R000.00 359.95
1942-03-16 002_19 006_47 357_25 316_01 060_42 055_22 034_08 035_19 154_45 100_25 138_13 0.97 12.23 F002.05 F001.00 F000.62 F000.20 F000.13 F000.05 R359.97 E000.00 359.95
1942-03-17 003_17 019_01 359_28 317_01 061_19 055_34 034_16 035_22 154_43 100_25 138_10 0.98 12.10 F002.08 F001.00 F000.60 F000.15 F000.10 F000.05 R359.97 F000.00 359.95
1942-03-18 004_16 031_07 001_33 318_01 061_55 055_43 034_22 035_25 154_41 100_25 138_07 0.98 12.00 F002.07 F001.00 F000.60 F000.20 F000.13 F000.05 R359.98 F000.00 359.95
