1918-02-11 326_53 300_52 324_55 291_21 152_49 041_45 105_40 302_26 101_55 070_43 244_40 0.98 15.15 F001.93 F000.32 R359.62 F000.12 R359.95 F000.07 R000.00 R000.00 359.95
1918-02-12 327_52 316_01 326_51 291_40 152_26 041_52 105_37 302_30 101_55 070_43 244_37 1.00 15.35 F001.92 F000.35 R359.62 F000.15 R359.95 F000.05 R359.98 R000.00 359.95
1918-02-13 328_52 331_22 328_46 292_01 152_03 042_01 105_34 302_33 101_54 070_43 244_34 1.00 15.30 F001.95 F000.40 R359.62 F000.12 R359.95 F000.05 R359.97 R000.00 359.95
1918-02-14 329_52 346_40 330_43 292_25 151_40 042_08 105_31 302_36 101_52 070_43 244_31 1.00 15.15 F001.97 F000.40 R359.60 F000.15 R359.95 F000.03 R000.00 R000.00 359.95
1918-02-15 330_52 001_49 332_41 292_49 151_16 042_17 105_28 302_38 101_52 070_43 244_28 1.00 14.75 F001.98 F000.45 R359.60 F000.13 R359.95 F000.05 R359.97 R000.00 359.93
1918-02-16 331_52 016_34 334_40 293_16 150_52 042_25 105_25 302_41 101_50 070_43 244_24 1.00 14.32 F002.00 F000.45 R359.60 F000.15 R359.98 F000.08 R359.98 R000.00 359.93
1918-02-17 332_52 030_53 336_40 293_43 150_28 042_34 105_24 302_46 101_49 070_43 244_20 1.00 13.83 F002.00 F000.50 R359.62 F000.15 R359.93 F000.05 R000.00 R000.00 359.97
1918-02-18 333_52 044_43 338_40 294_13 150_05 042_43 105_20 302_49 101_49 070_43 244_18 1.00 13.38 F002.00 F000.53 R359.60 F000.15 R359.98 F000.05 R359.97 E000.00 359.95
1918-02-19 334_52 058_06 340_40 294_45 149_41 042_52 105_19 302_52 101_47 070_43 244_15 1.00 12.92 F002.00 F000.52 R359.63 F000.15 R359.95 F000.05 R359.98 F000.00 359.93
1918-02-20 335_52 071_01 342_40 295_16 149_19 043_01 105_16 302_55 101_46 070_43 244_11 0.98 12.60 F002.00 F000.58 R359.60 F000.15 R359.95 F000.05 R000.00 F000.00 359.97
1918-02-21 336_51 083_37 344_40 295_51 148_55 043_10 105_13 302_58 101_46 070_43 244_09 1.00 12.33 F002.00 F000.57 R359.63 F000.15 R359.98 F000.05 R359.98 F000.00 359.92
1918-02-22 337_51 095_57 346_40 296_25 148_33 043_19 105_12 303_01 101_45 070_43 244_04 0.97 12.12 F001.97 F000.63 R359.62 F000.15 R359.97 F000.05 R000.00 F000.00 359.95
1918-02-23 338_49 108_04 348_38 297_03 148_10 043_28 105_10 303_04 101_45 070_43 244_01 1.00 12.00 F001.98 F000.62 R359.60 F000.15 R359.98 F000.05 R359.97 F000.00 359.95
