2100-02-12 326_15 337_51 299_49 012_16 040_37 176_16 180_19 354_41 140_34 007_39 322_00 1.00 11.83 F001.23 F000.92 R000.58 F359.92 F359.95 F000.07 R359.98 R000.02 359.93
2100-02-13 327_15 349_41 301_03 013_11 041_12 176_11 180_16 354_45 140_33 007_40 321_56 1.00 11.83 F001.27 F000.90 R000.57 F359.90 F359.95 F000.05 R359.97 R000.03 359.93
2100-02-14 328_15 001_31 302_19 014_05 041_46 176_05 180_13 354_48 140_31 007_42 321_52 1.00 11.80 F001.30 F000.88 R000.60 F359.92 F359.95 F000.07 R359.98 R000.02 359.95
2100-02-15 329_15 013_19 303_37 014_58 042_22 176_00 180_10 354_52 140_30 007_43 321_49 0.97 11.87 F001.35 F000.90 R000.58 F359.87 F359.92 F000.05 R359.97 R000.00 359.95
2100-02-16 330_13 025_11 304_58 015_52 042_57 175_52 180_05 354_55 140_28 007_43 321_46 1.00 11.98 F001.35 F000.85 R000.58 F359.90 F359.97 F000.05 R359.97 R000.03 359.95
2100-02-17 331_13 037_10 306_19 016_43 043_32 175_46 180_03 354_58 140_26 007_45 321_43 1.00 12.18 F001.37 F000.88 R000.58 F359.90 F359.92 F000.05 R359.98 R000.02 359.95
2100-02-18 332_13 049_21 307_41 017_36 044_07 175_40 179_58 355_01 140_25 007_46 321_40 1.00 12.42 F001.42 F000.82 R000.60 F359.90 F359.95 F000.05 R359.98 R000.00 359.95
2100-02-19 333_13 061_46 309_06 018_25 044_43 175_34 179_55 355_04 140_24 007_46 321_37 1.00 12.73 F001.42 F000.85 R000.57 F359.87 F359.92 F000.05 R359.97 R000.05 359.95
2100-02-20 334_13 074_30 310_31 019_16 045_17 175_26 179_50 355_07 140_22 007_49 321_34 1.00 13.12 F001.45 F000.80 R000.58 F359.88 F359.93 F000.05 R359.95 R000.00 359.95
2100-02-21 335_13 087_37 311_58 020_04 045_52 175_19 179_46 355_10 140_19 007_49 321_31 1.00 13.55 F001.50 F000.80 R000.60 F359.90 F359.95 F000.05 R000.00 R000.02 359.95
2100-02-22 336_13 101_10 313_28 020_52 046_28 175_13 179_43 355_13 140_19 007_50 321_28 0.97 14.00 F001.50 F000.80 R000.60 F359.90 F359.93 F000.05 R359.95 R000.03 359.95
2100-02-23 337_11 115_10 314_58 021_40 047_04 175_07 179_39 355_16 140_16 007_52 321_25 1.00 14.45 F001.53 F000.77 R000.57 F359.88 F359.92 F000.08 R000.00 R000.00 359.95
2100-02-24 338_11 129_37 316_30 022_26 047_38 175_00 179_34 355_21 140_16 007_52 321_22 0.98 14.80 F001.52 F000.75 R000.62 F359.87 F359.95 F000.03 R359.95 R000.05 359.93
2100-02-25 339_10 144_25 318_01 023_11 048_15 174_52 179_31 355_23 140_13 007_55 321_18 1.00 15.10 F001.60 F000.75 R000.57 F359.88 F359.92 F000.05 R359.97 R000.00 359.95
2100-02-26 340_10 159_31 319_37 023_56 048_49 174_45 179_26 355_26 140_11 007_55 321_15 1.00 15.20 F001.57 F000.73 R000.60 F359.87 F359.93 F000.08 R359.98 R000.03 359.93
2100-02-27 341_10 174_43 321_11 024_40 049_25 174_37 179_22 355_31 140_10 007_57 321_11 1.00 15.15 F001.63 F000.70 R000.60 F359.90 F359.93 F000.05 R359.98 R000.02 359.95
2100-02-28 342_10 189_52 322_49 025_22 050_01 174_31 179_18 355_34 140_09 007_58 321_08 0.97 14.95 F001.62 F000.70 R000.60 F359.85 F359.92 F000.05 R359.97 R000.03 359.97
2100-02-29 343_08 204_49 324_26 026_04 050_37 174_22 179_13 355_37 140_07 008_00 321_06 0.98 14.65 F001.68 F000.65 R000.58 F359.90 F359.95 F000.05 R359.97 R000.02 359.95
2100-02-30 344_07 219_28 326_07 026_43 051_12 174_16 179_10 355_40 140_05 008_01 321_03 1.00 14.22 F001.68 F000.65 R000.58 F359.85 F359.90 F000.05 R359.98 R000.00 359.92
2100-02-31 345_07 233_41 327_48 027_22 051_47 174_07 179_04 355_43 140_04 008_01 320_58 1.00 13.82 F001.70 F000.63 R000.58 F359.90 F359.95 F000.08 R359.98 R000.03 359.95
2100-03-01 346_07 247_30 329_30 028_00 052_22 174_01 179_01 355_48 140_03 008_03 320_55 0.98 13.35 F001.72 F000.62 R000.60 F359.85 F359.90 F000.05 R359.97 R000.02 359.95
2100-03-02 347_06 260_51 331_13 028_37 052_58 173_52 178_55 355_51 140_01 008_04 320_52 0.97 12.97 F001.75 F000.57 R000.60 F359.90 F359.95 F000.03 R000.00 R000.02 359.95
2100-03-03 348_04 273_49 332_58 029_11 053_34 173_46 178_52 355_53 140_01 008_05 320_49 1.00 12.60 F001.78 F000.58 R000.60 F359.85 F359.90 F000.08 R359.95 R000.03 359.95
2100-03-04 349_04 286_25 334_45 029_46 054_10 173_37 178_46 355_58 139_58 008_07 320_46 1.00 12.35 F001.80 F000.53 R000.60 F359.88 F359.95 F000.05 R000.00 R000.03 359.95
2100-03-05 350_04 298_46 336_33 030_18 054_46 173_30 178_43 356_01 139_58 008_09 320_43 0.98 12.15 F001.82 F000.52 R000.60 F359.87 F359.90 F000.05 R359.95 R000.02 359.95
2100-03-06 351_03 310_55 338_22 030_49 055_22 173_22 178_37 356_04 139_55 008_10 320_40 0.97 12.00 F001.85 F000.48 R000.60 F359.88 F359.95 F000.05 R000.00 R000.00 359.95
2100-03-07 352_01 322_55 340_13 031_18 055_58 173_15 178_34 356_07 139_55 008_10 320_37 1.00 11.88 F001.85 F000.47 R000.60 F359.87 F359.90 F000.07 R359.98 R000.05 359.95
2100-03-08 353_01 334_48 342_04 031_46 056_34 173_07 178_28 356_11 139_54 008_13 320_34 0.98 11.82 F001.90 F000.43 R000.60 F359.85 F359.95 F000.07 R359.97 R000.00 359.95
2100-03-09 354_00 346_37 343_58 032_12 057_10 172_58 178_25 356_15 139_52 008_13 320_31 0.97 11.82 F001.90 F000.42 R000.60 F359.90 F359.90 F000.05 R359.97 R000.03 359.95
2100-03-10 354_58 358_26 345_52 032_37 057_46 172_52 178_19 356_18 139_50 008_15 320_28 1.00 11.83 F001.95 F000.35 R000.58 F359.85 F359.93 F000.07 R359.98 R000.02 359.92
2100-03-11 355_58 010_16 347_49 032_58 058_21 172_43 178_15 356_22 139_49 008_16 320_23 0.97 11.87 F001.98 F000.35 R000.60 F359.87 F359.92 F000.05 R359.98 R000.03 359.97
2100-03-12 356_56 022_08 349_48 033_19 058_57 172_35 178_10 356_25 139_48 008_18 320_21 0.98 11.93 F001.97 F000.32 R000.58 F359.88 F359.92 F000.05 R359.97 R000.02 359.95
2100-03-13 357_55 034_04 351_46 033_38 059_32 172_28 178_05 356_28 139_46 008_19 320_18 1.00 12.07 F002.00 F000.28 R000.60 F359.87 F359.93 F000.05 R000.00 R000.02 359.95
2100-03-14 358_55 046_08 353_46 033_55 060_08 172_20 178_01 356_31 139_46 008_20 320_15 0.97 12.23 F002.05 F000.25 R000.62 F359.88 F359.92 F000.08 R359.98 R000.03 359.93
2100-03-15 359_53 058_22 355_49 034_10 060_45 172_13 177_56 356_36 139_45 008_22 320_11 0.98 12.42 F002.05 F000.22 R000.62 F359.87 F359.93 F000.03 R359.97 R000.03 359.93
2100-03-16 000_52 070_47 357_52 034_23 061_22 172_05 177_52 356_38 139_43 008_24 320_07 0.98 12.68 F002.05 F000.18 R000.60 F359.88 F359.93 F000.05 R359.97 R000.02 359.95
2100-03-17 001_51 083_28 359_55 034_34 061_58 171_58 177_48 356_41 139_41 008_25 320_04 0.97 13.03 F002.10 F000.15 R000.60 F359.87 F359.92 F000.08 R359.98 R000.00 359.95
2100-03-18 002_49 096_30 002_01 034_43 062_34 171_50 177_43 356_46 139_40 008_25 320_01 1.00 13.40 F002.10 F000.10 R000.60 F359.88 F359.90 F000.05 R000.00 R000.05 359.95
2100-03-19 003_49 109_54 004_07 034_49 063_10 171_43 177_37 356_49 139_40 008_28 319_58 0.95 13.82 F002.10 F000.05 R000.60 F359.87 F359.95 F000.05 R359.98 R000.00 359.95
2100-03-20 004_46 123_43 006_13 034_52 063_46 171_35 177_34 356_52 139_39 008_28 319_55 1.00 14.25 F002.15 F000.05 R000.60 F359.88 F359.90 F000.05 R359.97 R000.03 359.95
2100-03-21 005_46 137_58 008_22 034_55 064_22 171_28 177_28 356_55 139_37 008_30 319_52 0.95 14.65 F002.10 F359.97 R000.60 F359.87 F359.95 F000.05 R000.00 R000.02 359.95
2100-03-22 006_43 152_37 010_28 034_53 064_58 171_20 177_25 356_58 139_37 008_31 319_49 1.00 15.00 F002.15 F359.97 R000.60 F359.88 F359.90 F000.08 R359.97 R000.03 359.95
2100-03-23 007_43 167_37 012_37 034_51 065_34 171_13 177_19 357_03 139_35 008_33 319_46 0.95 15.25 F002.10 F359.90 R000.60 F359.90 F359.95 F000.05 R359.98 R000.02 359.95
2100-03-24 008_40 182_52 014_43 034_45 066_10 171_07 177_16 357_06 139_34 008_34 319_43 1.00 15.25 F002.13 F359.87 R000.60 F359.88 F359.90 F000.07 R000.00 R000.02 359.95
2100-03-25 009_40 198_07 016_51 034_37 066_46 171_00 177_10 357_10 139_34 008_35 319_40 0.95 15.15 F002.12 F359.80 R000.60 F359.87 F359.95 F000.05 R359.98 R000.03 359.95
2100-03-26 010_37 213_16 018_58 034_25 067_22 170_52 177_07 357_13 139_33 008_37 319_37 1.00 14.85 F002.08 F359.80 R000.60 F359.90 F359.90 F000.05 R359.97 R000.03 359.95
2100-03-27 011_37 228_07 021_03 034_13 067_58 170_46 177_01 357_16 139_31 008_39 319_34 0.95 14.45 F002.05 F359.75 R000.62 F359.90 F359.95 F000.05 R000.00 R000.02 359.93
2100-03-28 012_34 242_34 023_06 033_58 068_35 170_40 176_58 357_19 139_31 008_40 319_30 1.00 13.95 F002.02 F359.70 R000.62 F359.88 F359.93 F000.05 R000.00 R000.00 359.93
2100-03-29 013_34 256_31 025_07 033_40 069_12 170_33 176_54 357_22 139_31 008_40 319_26 0.95 13.48 F002.00 F359.65 R000.58 F359.87 F359.92 F000.05 R359.98 R000.05 359.95
2100-03-30 014_31 270_00 027_07 033_19 069_47 170_25 176_49 357_25 139_30 008_43 319_23 0.98 13.02 F001.95 F359.63 R000.62 F359.90 F359.93 F000.08 R359.97 R000.00 359.97
2100-04-01 015_30 283_01 029_04 032_57 070_24 170_19 176_45 357_30 139_28 008_43 319_21 0.97 12.60 F001.93 F359.58 R000.62 F359.90 F359.92 F000.05 R000.00 R000.05 359.95
2100-04-02 016_28 295_37 031_00 032_32 071_01 170_13 176_40 357_33 139_28 008_46 319_18 0.97 12.30 F001.87 F359.57 R000.60 F359.90 F359.95 F000.05 R359.97 R000.00 359.92
2100-04-03 017_26 307_55 032_52 032_06 071_37 170_07 176_37 357_36 139_26 008_46 319_13 0.98 12.05 F001.80 F359.52 R000.60 F359.90 F359.93 F000.07 R000.00 R000.03 359.95
2100-04-04 018_25 319_58 034_40 031_37 072_13 170_01 176_33 357_40 139_26 008_48 319_10 0.95 11.90 F001.78 F359.50 R000.60 F359.90 F359.92 F000.05 R359.98 R000.02 359.95
2100-04-05 019_22 331_52 036_27 031_07 072_49 169_55 176_28 357_43 139_25 008_49 319_07 0.98 11.80 F001.72 F359.45 R000.60 F359.90 F359.95 F000.05 R000.00 R000.02 359.95
2100-04-06 020_21 343_40 038_10 030_34 073_25 169_49 176_25 357_46 139_25 008_50 319_04 0.97 11.80 F001.62 F359.45 R000.62 F359.90 F359.92 F000.05 R000.00 R000.03 359.95
2100-04-07 021_19 355_28 039_47 030_01 074_02 169_43 176_20 357_49 139_25 008_52 319_01 0.98 11.80 F001.60 F359.42 R000.62 F359.90 F359.93 F000.05 R359.98 R000.03 359.95
2100-04-08 022_18 007_16 041_23 029_26 074_39 169_37 176_16 357_52 139_24 008_54 318_58 0.97 11.90 F001.53 F359.42 R000.62 F359.93 F359.95 F000.05 R000.00 R000.02 359.95
2100-04-09 023_16 019_10 042_55 028_51 075_16 169_33 176_13 357_55 139_24 008_55 318_55 0.95 11.97 F001.45 F359.37 R000.60 F359.88 F359.93 F000.05 R359.97 R000.00 359.95
2100-04-10 024_13 031_08 044_22 028_13 075_52 169_26 176_09 357_58 139_22 008_55 318_52 0.97 12.08 F001.40 F359.40 R000.60 F359.93 F359.92 F000.05 R000.00 R000.05 359.95
