2061-03-16 001_49 306_36 008_07 010_11 163_35 065_52 049_25 196_48 053_58 328_41 354_56 1.00 13.72 F002.10 F001.25 R359.68 F000.15 F000.10 R359.97 F000.03 F000.03 359.95
2061-03-17 002_49 320_19 010_13 011_26 163_16 066_01 049_31 196_46 054_00 328_43 354_53 0.95 14.18 F002.08 F001.23 R359.65 F000.15 F000.12 R359.95 F000.02 F000.03 359.93
2061-03-18 003_46 334_30 012_18 012_40 162_55 066_10 049_38 196_43 054_01 328_45 354_49 1.00 14.57 F002.07 F001.25 R359.70 F000.15 F000.12 R359.95 F000.02 F000.02 359.95
2061-03-19 004_46 349_04 014_22 013_55 162_37 066_19 049_45 196_40 054_02 328_46 354_46 0.98 14.85 F002.02 F001.23 R359.70 F000.18 F000.10 R359.95 F000.03 F000.00 359.95
2061-03-20 005_45 003_55 016_23 015_09 162_19 066_30 049_51 196_37 054_04 328_46 354_43 0.97 15.05 F002.03 F001.22 R359.70 F000.15 F000.12 R359.97 F000.05 F000.05 359.95
2061-03-21 006_43 018_58 018_25 016_22 162_01 066_39 049_58 196_35 054_07 328_49 354_40 0.98 15.07 F001.97 F001.25 R359.70 F000.17 F000.10 R359.97 F000.00 F000.00 359.95
2061-03-22 007_42 034_02 020_23 017_37 161_43 066_49 050_04 196_33 054_07 328_49 354_37 0.97 14.98 F001.93 F001.23 R359.75 F000.15 F000.10 R359.97 F000.05 F000.03 359.95
2061-03-23 008_40 049_01 022_19 018_51 161_28 066_58 050_10 196_31 054_10 328_51 354_34 0.98 14.70 F001.90 F001.22 R359.72 F000.18 F000.10 R359.95 F000.03 F000.02 359.95
2061-03-24 009_39 063_43 024_13 020_04 161_11 067_09 050_16 196_28 054_12 328_52 354_31 0.97 14.40 F001.85 F001.25 R359.75 F000.17 F000.12 R359.95 F000.02 F000.02 359.95
2061-03-25 010_37 078_07 026_04 021_19 160_56 067_19 050_23 196_25 054_13 328_53 354_28 0.97 14.00 F001.80 F001.23 R359.75 F000.15 F000.12 R359.95 F000.03 F000.03 359.95
2061-03-26 011_35 092_07 027_52 022_33 160_41 067_28 050_30 196_22 054_15 328_55 354_25 0.98 13.60 F001.75 F001.22 R359.78 F000.20 F000.12 R359.97 F000.02 F000.00 359.95
2061-03-27 012_34 105_43 029_37 023_46 160_28 067_40 050_37 196_20 054_16 328_55 354_22 0.95 13.20 F001.68 F001.25 R359.80 F000.15 F000.10 R359.97 F000.05 F000.02 359.95
2061-03-28 013_31 118_55 031_18 025_01 160_16 067_49 050_43 196_18 054_19 328_56 354_19 1.00 12.90 F001.58 F001.23 R359.80 F000.20 F000.10 R359.97 F000.00 F000.03 359.93
2061-03-29 014_31 131_49 032_53 026_15 160_04 068_01 050_49 196_16 054_19 328_58 354_15 0.95 12.60 F001.57 F001.22 R359.80 F000.15 F000.13 R359.95 F000.05 F000.03 359.93
2061-03-30 015_28 144_25 034_27 027_28 159_52 068_10 050_57 196_13 054_22 329_00 354_11 0.97 12.35 F001.47 F001.25 R359.82 F000.20 F000.12 R359.95 F000.02 F000.02 359.95
2061-04-01 016_26 156_46 035_55 028_43 159_41 068_22 051_04 196_10 054_23 329_01 354_08 0.98 12.15 F001.43 F001.22 R359.83 F000.17 F000.10 R359.95 F000.03 F000.00 359.97
2061-04-02 017_25 168_55 037_21 029_56 159_31 068_32 051_10 196_07 054_25 329_01 354_06 0.97 12.05 F001.32 F001.23 R359.85 F000.18 F000.12 R359.95 F000.05 F000.03 359.95
2061-04-03 018_23 180_58 038_40 031_10 159_22 068_43 051_17 196_04 054_28 329_03 354_03 0.98 11.93 F001.30 F001.22 R359.88 F000.18 F000.13 R359.98 F000.03 F000.02 359.92
2061-04-04 019_22 192_54 039_58 032_23 159_15 068_54 051_25 196_03 054_30 329_04 353_58 0.95 11.87 F001.17 F001.23 R359.87 F000.17 F000.10 R359.95 F000.02 F000.00 359.95
2061-04-05 020_19 204_46 041_08 033_37 159_07 069_04 051_31 196_00 054_31 329_04 353_55 0.98 11.82 F001.13 F001.25 R359.90 F000.20 F000.12 R359.97 F000.05 F000.03 359.95
2061-04-06 021_18 216_35 042_16 034_52 159_01 069_16 051_38 195_58 054_34 329_06 353_52 0.97 11.83 F001.05 F001.20 R359.90 F000.20 F000.13 R359.95 F000.03 F000.02 359.95
2061-04-07 022_16 228_25 043_19 036_04 158_55 069_28 051_46 195_55 054_36 329_07 353_49 0.95 11.90 F000.95 F001.25 R359.92 F000.18 F000.10 R359.95 F000.02 F000.00 359.95
2061-04-08 023_13 240_19 044_16 037_19 158_50 069_39 051_52 195_52 054_37 329_07 353_46 0.97 11.95 F000.90 F001.22 R359.93 F000.17 F000.15 R359.95 F000.02 F000.02 359.95
2061-04-09 024_11 252_16 045_10 038_32 158_46 069_49 052_01 195_49 054_38 329_08 353_43 0.98 12.10 F000.80 F001.23 R359.95 F000.20 F000.10 R359.98 F000.03 F000.03 359.95
2061-04-10 025_10 264_22 045_58 039_46 158_43 070_01 052_07 195_48 054_40 329_10 353_40 0.95 12.25 F000.73 F001.23 R359.95 F000.20 F000.13 R359.95 F000.05 F000.00 359.95
2061-04-11 026_07 276_37 046_42 041_00 158_40 070_13 052_15 195_45 054_43 329_10 353_37 0.98 12.52 F000.65 F001.22 R359.98 F000.20 F000.12 R359.97 F000.05 F000.02 359.95
2061-04-12 027_06 289_08 047_21 042_13 158_39 070_25 052_22 195_43 054_46 329_11 353_34 0.97 12.83 F000.57 F001.23 R359.97 F000.17 F000.13 R359.95 F000.02 F000.03 359.95
2061-04-13 028_04 301_58 047_55 043_27 158_37 070_35 052_30 195_40 054_47 329_13 353_31 0.95 13.17 F000.47 F001.22 E000.00 F000.20 F000.12 R359.95 F000.03 F000.00 359.95
2061-04-14 029_01 315_08 048_23 044_40 158_37 070_47 052_37 195_37 054_49 329_13 353_28 0.98 13.62 F000.40 F001.22 F000.00 F000.22 F000.10 R359.95 F000.05 F000.03 359.95
2061-04-15 030_00 328_45 048_47 045_53 158_37 071_00 052_43 195_34 054_52 329_15 353_25 0.97 14.05 F000.33 F001.23 F000.03 F000.20 F000.15 R359.98 F000.02 F000.02 359.93
