1931-02-11 326_33 233_55 321_56 282_55 094_34 077_34 268_07 350_58 131_05 085_52 353_03 1.00 12.83 F001.88 F001.15 F000.02 F000.00 F000.10 F000.05 R359.98 R000.00 359.95
1931-02-12 327_33 246_45 323_49 284_04 094_35 077_34 268_13 351_01 131_04 085_52 353_00 1.00 12.52 F001.90 F001.15 F000.07 F000.02 F000.08 F000.05 R359.98 R000.00 359.93
1931-02-13 328_33 259_16 325_43 285_13 094_39 077_35 268_18 351_04 131_03 085_52 352_56 1.00 12.25 F001.92 F001.15 F000.05 F000.03 F000.07 F000.05 R359.97 R000.00 359.95
1931-02-14 329_33 271_31 327_38 286_22 094_42 077_37 268_22 351_07 131_01 085_52 352_53 1.00 12.05 F001.93 F001.15 F000.07 F000.03 F000.07 F000.05 R359.98 R359.97 359.97
1931-02-15 330_33 283_34 329_34 287_31 094_46 077_39 268_26 351_10 131_00 085_50 352_51 1.00 11.95 F001.95 F001.15 F000.07 F000.02 F000.08 F000.05 R359.97 R000.00 359.95
1931-02-16 331_33 295_31 331_31 288_40 094_50 077_40 268_31 351_13 130_58 085_50 352_48 0.97 11.85 F001.98 F001.15 F000.12 F000.03 F000.05 F000.08 R359.97 R000.00 359.92
1931-02-17 332_31 307_22 333_30 289_49 094_57 077_42 268_34 351_18 130_56 085_50 352_43 1.00 11.80 F001.97 F001.15 F000.08 F000.02 F000.10 F000.05 R359.98 R359.98 359.95
1931-02-18 333_31 319_10 335_28 290_58 095_02 077_43 268_40 351_21 130_55 085_49 352_40 1.00 11.80 F002.00 F001.17 F000.13 F000.05 F000.05 F000.03 R359.98 R000.00 359.95
1931-02-19 334_31 330_58 337_28 292_08 095_10 077_46 268_43 351_23 130_54 085_49 352_37 1.00 11.85 F002.00 F001.18 F000.10 F000.02 F000.08 F000.08 R359.97 R000.00 359.95
1931-02-20 335_31 342_49 339_28 293_19 095_16 077_47 268_48 351_28 130_52 085_49 352_34 1.00 11.90 F002.00 F001.15 F000.15 F000.05 F000.07 F000.05 R359.97 R000.00 359.95
1931-02-21 336_31 354_43 341_28 294_28 095_25 077_50 268_52 351_31 130_50 085_49 352_31 1.00 12.00 F002.03 F001.15 F000.15 F000.07 F000.05 F000.05 R359.98 R000.00 359.95
1931-02-22 337_31 006_43 343_30 295_37 095_34 077_54 268_55 351_34 130_49 085_49 352_28 0.98 12.15 F002.00 F001.18 F000.15 F000.05 F000.08 F000.05 R359.98 R000.00 359.95
1931-02-23 338_30 018_52 345_30 296_48 095_43 077_57 269_00 351_37 130_48 085_49 352_25 1.00 12.32 F002.02 F001.17 F000.15 F000.05 F000.07 F000.05 R359.97 R359.97 359.95
1931-02-24 339_30 031_11 347_31 297_58 095_52 078_00 269_04 351_40 130_46 085_47 352_22 0.97 12.58 F002.00 F001.15 F000.20 F000.03 F000.05 F000.05 R359.98 R000.00 359.95
1931-02-25 340_28 043_46 349_31 299_07 096_04 078_02 269_07 351_43 130_45 085_47 352_19 1.00 12.85 F002.00 F001.18 F000.18 F000.05 F000.05 F000.08 R359.97 R000.00 359.95
1931-02-26 341_28 056_37 351_31 300_18 096_15 078_05 269_10 351_48 130_43 085_47 352_16 1.00 13.20 F001.95 F001.17 F000.17 F000.08 F000.08 F000.05 R359.97 R000.00 359.95
1931-02-27 342_28 069_49 353_28 301_28 096_25 078_10 269_15 351_51 130_41 085_47 352_13 0.97 13.60 F001.95 F001.17 F000.20 F000.05 F000.05 F000.07 R359.98 R000.00 359.92
1931-02-28 343_26 083_25 355_25 302_38 096_37 078_13 269_18 351_55 130_40 085_47 352_08 1.00 13.98 F001.90 F001.18 F000.22 F000.07 F000.07 F000.05 R359.98 R000.00 359.97
1931-02-29 344_26 097_24 357_19 303_49 096_50 078_17 269_22 351_58 130_39 085_47 352_06 0.98 14.37 F001.90 F001.18 F000.23 F000.08 F000.05 F000.05 R359.97 R000.00 359.95
1931-02-30 345_25 111_46 359_13 305_00 097_04 078_22 269_25 352_01 130_37 085_47 352_03 1.00 14.73 F001.80 F001.17 F000.20 F000.05 F000.05 F000.05 R000.00 R359.98 359.95
1931-02-31 346_25 126_30 001_01 306_10 097_16 078_25 269_28 352_04 130_37 085_46 352_00 0.97 14.97 F001.80 F001.15 F000.25 F000.10 F000.05 F000.05 R359.95 R000.00 359.93
1931-03-01 347_23 141_28 002_49 307_19 097_31 078_31 269_31 352_07 130_34 085_46 351_56 1.00 15.10 F001.70 F001.20 F000.25 F000.07 F000.05 F000.07 R000.00 R000.00 359.95
1931-03-02 348_23 156_34 004_31 308_31 097_46 078_35 269_34 352_11 130_34 085_46 351_53 0.98 15.10 F001.65 F001.17 F000.25 F000.08 F000.05 F000.07 R359.98 E000.00 359.93
1931-03-03 349_22 171_40 006_10 309_41 098_01 078_40 269_37 352_15 130_33 085_46 351_49 1.00 14.90 F001.60 F001.18 F000.25 F000.08 F000.05 F000.07 R359.97 F000.00 359.95
1931-03-04 350_22 186_34 007_46 310_52 098_16 078_45 269_40 352_19 130_31 085_46 351_46 0.98 14.62 F001.50 F001.18 F000.27 F000.08 F000.05 F000.05 R359.98 F000.00 359.95
1931-03-05 351_21 201_11 009_16 312_03 098_32 078_50 269_43 352_22 130_30 085_46 351_43 0.97 14.23 F001.45 F001.17 F000.28 F000.08 F000.05 F000.05 R359.97 F000.02 359.95
1931-03-06 352_19 215_25 010_43 313_13 098_49 078_55 269_46 352_25 130_28 085_47 351_40 1.00 13.80 F001.33 F001.20 F000.27 F000.10 F000.03 F000.05 R000.00 F000.00 359.95
1931-03-07 353_19 229_13 012_03 314_25 099_05 079_01 269_48 352_28 130_28 085_47 351_37 0.98 13.35 F001.25 F001.18 F000.28 F000.10 F000.05 F000.05 R359.97 F000.00 359.95
1931-03-08 354_18 242_34 013_18 315_36 099_22 079_07 269_51 352_31 130_26 085_47 351_34 0.97 12.90 F001.17 F001.17 F000.30 F000.10 F000.02 F000.08 R359.98 F000.00 359.95
