1947-02-25 340_22 009_28 316_25 299_53 322_51 214_16 098_55 054_58 166_30 108_04 042_37 1.00 13.85 F000.27 F001.18 F000.77 R359.95 R359.98 F000.03 R359.97 R359.97 359.95
1947-02-26 341_22 023_19 316_41 301_04 323_37 214_13 098_54 055_00 166_28 108_02 042_34 1.00 14.00 F000.38 F001.18 F000.80 R359.97 R359.97 F000.02 R359.95 R359.98 359.95
1947-02-27 342_22 037_19 317_04 302_15 324_25 214_11 098_52 055_01 166_25 108_01 042_31 1.00 14.03 F000.45 F001.17 F000.77 R359.98 R000.00 F000.02 R000.00 R000.00 359.95
1947-02-28 343_22 051_21 317_31 303_25 325_11 214_10 098_52 055_02 166_25 108_01 042_28 0.98 14.10 F000.55 F001.20 F000.78 R359.95 R000.00 F000.03 R359.95 R000.00 359.95
1947-02-29 344_21 065_27 318_04 304_37 325_58 214_07 098_52 055_04 166_22 108_01 042_25 0.97 14.12 F000.57 F001.15 F000.80 R359.95 R359.97 F000.03 R359.97 R359.98 359.95
1947-02-30 345_19 079_34 318_38 305_46 326_46 214_04 098_50 055_06 166_20 108_00 042_22 1.00 14.15 F000.68 F001.20 F000.78 R359.95 R000.00 F000.02 R359.98 R000.00 359.95
1947-02-31 346_19 093_43 319_19 306_58 327_33 214_01 098_50 055_07 166_19 108_00 042_19 1.00 14.12 F000.73 F001.17 F000.77 R359.95 R359.98 F000.05 R359.98 R359.97 359.95
1947-03-01 347_19 107_50 320_03 308_08 328_19 213_58 098_49 055_10 166_18 107_58 042_16 0.98 14.08 F000.77 F001.18 F000.80 R359.95 R000.00 F000.03 R359.97 R000.00 359.95
1947-03-02 348_18 121_55 320_49 309_19 329_07 213_55 098_49 055_12 166_16 107_58 042_13 0.97 13.95 F000.85 F001.20 F000.77 R359.92 R000.00 F000.02 R359.98 R000.00 359.92
1947-03-03 349_16 135_52 321_40 310_31 329_53 213_50 098_49 055_13 166_15 107_58 042_08 1.00 13.80 F000.90 F001.17 F000.78 R359.97 E000.00 F000.03 R359.97 R359.98 359.97
1947-03-04 350_16 149_40 322_34 311_41 330_40 213_48 098_49 055_15 166_13 107_57 042_06 0.98 13.60 F000.93 F001.18 F000.80 R359.92 F000.00 F000.02 R359.95 R000.00 359.93
1947-03-05 351_15 163_16 323_30 312_52 331_28 213_43 098_49 055_16 166_10 107_57 042_02 0.97 13.30 F001.00 F001.20 F000.75 R359.95 F000.00 F000.05 R000.00 R359.97 359.97
1947-03-06 352_13 176_34 324_30 314_04 332_13 213_40 098_49 055_19 166_10 107_55 042_00 1.00 13.02 F001.02 F001.20 F000.80 R359.92 F000.02 F000.03 R359.95 R000.00 359.95
1947-03-07 353_13 189_35 325_31 315_16 333_01 213_35 098_50 055_21 166_07 107_55 041_57 0.97 12.72 F001.10 F001.17 F000.78 R359.93 F000.00 F000.02 R359.97 R000.00 359.93
1947-03-08 354_11 202_18 326_37 316_26 333_48 213_31 098_50 055_22 166_05 107_55 041_53 0.98 12.42 F001.10 F001.18 F000.77 R359.92 F000.00 F000.05 R359.98 R000.00 359.93
1947-03-09 355_10 214_43 327_43 317_37 334_34 213_26 098_50 055_25 166_04 107_55 041_49 1.00 12.18 F001.17 F001.20 F000.78 R359.93 F000.03 F000.05 R359.98 R359.98 359.95
1947-03-10 356_10 226_54 328_53 318_49 335_21 213_22 098_52 055_28 166_03 107_54 041_46 0.97 11.97 F001.22 F001.20 F000.77 R359.90 F000.00 F000.03 R359.97 R000.00 359.95
1947-03-11 357_08 238_52 330_06 320_01 336_07 213_16 098_52 055_30 166_01 107_54 041_43 0.98 11.88 F001.22 F001.17 F000.80 R359.95 F000.03 F000.02 R359.98 R000.00 359.95
1947-03-12 358_07 250_45 331_19 321_11 336_55 213_13 098_54 055_31 166_00 107_54 041_40 1.00 11.82 F001.28 F001.20 F000.75 R359.90 F000.02 F000.05 R359.97 R359.97 359.95
1947-03-13 359_07 262_34 332_36 322_23 337_40 213_07 098_55 055_34 165_58 107_52 041_37 0.98 11.90 F001.32 F001.18 F000.80 R359.90 F000.00 F000.05 R359.97 R000.00 359.95
1947-03-14 000_06 274_28 333_55 323_34 338_28 213_01 098_55 055_37 165_56 107_52 041_34 0.97 12.00 F001.33 F001.20 F000.78 R359.92 F000.03 F000.02 R359.98 R000.00 359.95
1947-03-15 001_04 286_28 335_15 324_46 339_15 212_56 098_57 055_38 165_55 107_52 041_31 0.97 12.22 F001.37 F001.20 F000.77 R359.90 F000.02 F000.03 R359.98 R000.00 359.95
1947-03-16 002_02 298_41 336_37 325_58 340_01 212_50 098_58 055_40 165_54 107_52 041_28 0.98 12.50 F001.40 F001.20 F000.78 R359.93 F000.00 F000.05 R359.97 R000.00 359.95
1947-03-17 003_01 311_11 338_01 327_10 340_48 212_46 098_58 055_43 165_52 107_52 041_25 0.98 12.83 F001.42 F001.20 F000.77 R359.90 F000.05 F000.05 R359.97 R000.00 359.95
1947-03-18 004_00 324_01 339_26 328_22 341_34 212_40 099_01 055_46 165_50 107_52 041_22 0.97 13.17 F001.48 F001.18 F000.78 R359.90 F000.02 F000.05 R359.98 R000.00 359.95
1947-03-19 004_58 337_11 340_55 329_33 342_21 212_34 099_02 055_49 165_49 107_52 041_19 1.00 13.53 F001.50 F001.20 F000.77 R359.90 F000.03 F000.03 R359.95 R000.00 359.93
1947-03-20 005_58 350_43 342_25 330_45 343_07 212_28 099_04 055_51 165_46 107_52 041_15 0.95 13.85 F001.50 F001.18 F000.77 R359.90 F000.02 F000.03 R000.00 R000.00 359.95
1947-03-21 006_55 004_34 343_55 331_56 343_53 212_22 099_05 055_53 165_46 107_52 041_12 1.00 14.12 F001.58 F001.18 F000.78 R359.90 F000.03 F000.07 R359.95 R000.00 359.93
1947-03-22 007_55 018_41 345_30 333_07 344_40 212_16 099_07 055_57 165_43 107_52 041_08 0.95 14.32 F001.57 F001.20 F000.75 R359.88 F000.05 F000.02 R000.00 R000.00 359.97
1947-03-23 008_52 033_00 347_04 334_19 345_25 212_09 099_10 055_58 165_43 107_52 041_06 1.00 14.42 F001.60 F001.20 F000.77 R359.90 F000.03 F000.05 R359.95 E000.00 359.93
1947-03-24 009_52 047_25 348_40 335_31 346_11 212_03 099_12 056_01 165_40 107_52 041_02 0.95 14.43 F001.65 F001.20 F000.78 R359.87 F000.02 F000.05 R000.00 F000.00 359.97
1947-03-25 010_49 061_51 350_19 336_43 346_58 211_55 099_13 056_04 165_40 107_52 041_00 1.00 14.40 F001.68 F001.20 F000.78 R359.90 F000.05 F000.05 R359.95 F000.00 359.92
1947-03-26 011_49 076_15 352_00 337_55 347_45 211_49 099_16 056_07 165_37 107_52 040_55 0.95 14.27 F001.68 F001.20 F000.77 R359.90 F000.05 F000.05 R000.00 F000.00 359.95
1947-03-27 012_46 090_31 353_41 339_07 348_31 211_43 099_19 056_10 165_37 107_52 040_52 0.98 14.15 F001.73 F001.20 F000.75 R359.87 F000.05 F000.05 R359.97 F000.00 359.95
1947-03-28 013_45 104_40 355_25 340_19 349_16 211_35 099_22 056_13 165_35 107_52 040_49 0.97 14.00 F001.75 F001.20 F000.78 R359.88 F000.03 F000.05 R359.98 F000.00 359.95
