2083-02-15 329_36 289_31 340_16 295_19 032_04 010_24 318_30 291_08 102_22 351_16 290_52 1.00 12.95 F001.90 F001.23 F000.63 F000.22 F000.12 F000.05 R000.00 F000.05 359.95
2083-02-16 330_36 302_28 342_10 296_33 032_42 010_37 318_37 291_11 102_22 351_19 290_49 0.97 12.78 F001.90 F001.22 F000.62 F000.20 F000.10 F000.07 R359.97 F000.00 359.93
2083-02-17 331_34 315_15 344_04 297_46 033_19 010_49 318_43 291_15 102_20 351_19 290_45 1.00 12.57 F001.85 F001.20 F000.65 F000.20 F000.13 F000.05 R359.98 F000.03 359.93
2083-02-18 332_34 327_49 345_55 298_58 033_58 011_01 318_51 291_18 102_19 351_21 290_41 1.00 12.40 F001.83 F001.20 F000.65 F000.23 F000.12 F000.02 R000.00 F000.02 359.95
2083-02-19 333_34 340_13 347_45 300_10 034_37 011_15 318_58 291_19 102_19 351_22 290_38 1.00 12.22 F001.77 F001.22 F000.63 F000.22 F000.13 F000.05 R359.97 F000.02 359.97
2083-02-20 334_34 352_26 349_31 301_23 035_15 011_28 319_06 291_22 102_17 351_23 290_36 1.00 12.10 F001.70 F001.23 F000.62 F000.20 F000.12 F000.05 R359.98 F000.03 359.95
2083-02-21 335_34 004_32 351_13 302_37 035_52 011_40 319_13 291_25 102_16 351_25 290_33 1.00 11.98 F001.67 F001.20 F000.65 F000.23 F000.10 F000.05 R000.00 F000.02 359.92
2083-02-22 336_34 016_31 352_53 303_49 036_31 011_54 319_19 291_28 102_16 351_26 290_28 0.98 11.87 F001.58 F001.23 F000.65 F000.22 F000.12 F000.05 R359.98 F000.03 359.95
2083-02-23 337_33 028_23 354_28 305_03 037_10 012_07 319_26 291_31 102_15 351_28 290_25 1.00 11.87 F001.50 F001.22 F000.62 F000.20 F000.13 F000.05 R000.00 F000.03 359.95
2083-02-24 338_33 040_15 355_58 306_16 037_47 012_19 319_34 291_34 102_15 351_30 290_22 1.00 11.87 F001.45 F001.20 F000.63 F000.23 F000.10 F000.05 R359.97 F000.02 359.95
2083-02-25 339_33 052_07 357_25 307_28 038_25 012_33 319_40 291_37 102_13 351_31 290_19 0.97 12.00 F001.33 F001.22 F000.65 F000.22 F000.13 F000.02 R000.00 F000.03 359.95
2083-02-26 340_31 064_07 358_45 308_41 039_04 012_46 319_48 291_38 102_13 351_33 290_16 1.00 12.15 F001.22 F001.23 F000.65 F000.20 F000.12 F000.05 R359.98 F000.02 359.95
2083-02-27 341_31 076_16 359_58 309_55 039_43 012_58 319_55 291_41 102_12 351_34 290_13 1.00 12.45 F001.15 F001.20 F000.63 F000.25 F000.10 F000.03 R000.00 F000.03 359.95
2083-02-28 342_31 088_43 001_07 311_07 040_21 013_13 320_01 291_43 102_12 351_36 290_10 0.98 12.78 F001.05 F001.23 F000.62 F000.20 F000.12 F000.05 R359.97 F000.02 359.95
2083-02-29 343_30 101_30 002_10 312_21 040_58 013_25 320_08 291_46 102_10 351_37 290_07 1.00 13.17 F000.90 F001.22 F000.65 F000.23 F000.13 F000.05 R000.00 F000.00 359.95
2083-02-30 344_30 114_40 003_04 313_34 041_37 013_39 320_16 291_49 102_10 351_37 290_04 0.97 13.65 F000.80 F001.20 F000.65 F000.22 F000.10 F000.05 R000.00 F000.05 359.95
2083-02-31 345_28 128_19 003_52 314_46 042_16 013_52 320_22 291_52 102_10 351_40 290_01 1.00 14.12 F000.70 F001.23 F000.62 F000.22 F000.13 F000.02 R359.98 F000.00 359.95
2083-03-01 346_28 142_26 004_34 316_00 042_53 014_05 320_30 291_53 102_09 351_40 289_58 0.97 14.53 F000.55 F001.22 F000.63 F000.23 F000.12 F000.03 R000.00 F000.05 359.92
2083-03-02 347_26 156_58 005_07 317_13 043_31 014_19 320_37 291_55 102_09 351_43 289_53 1.00 14.87 F000.45 F001.20 F000.65 F000.23 F000.10 F000.05 R359.97 F000.00 359.97
2083-03-03 348_26 171_50 005_34 318_25 044_10 014_33 320_43 291_58 102_07 351_43 289_51 0.98 15.07 F000.35 F001.22 F000.65 F000.22 F000.10 F000.05 R000.00 F000.05 359.95
2083-03-04 349_25 186_54 005_55 319_38 044_49 014_46 320_49 292_01 102_07 351_46 289_48 1.00 15.07 F000.20 F001.23 F000.63 F000.25 F000.12 F000.03 R000.00 F000.00 359.95
2083-03-05 350_25 201_58 006_07 320_52 045_27 015_01 320_56 292_03 102_07 351_46 289_45 0.97 14.93 F000.08 F001.20 F000.62 F000.20 F000.13 F000.02 R000.00 F000.03 359.93
2083-03-06 351_23 216_54 006_12 322_04 046_04 015_13 321_04 292_04 102_07 351_48 289_41 0.98 14.67 B359.97 F001.23 F000.65 F000.25 F000.10 F000.05 R000.00 F000.02 359.95
2083-03-07 352_22 231_34 006_10 323_18 046_43 015_28 321_10 292_07 102_07 351_49 289_38 1.00 14.30 R359.85 F001.22 F000.65 F000.22 F000.10 F000.05 R359.97 F000.03 359.93
2083-03-08 353_22 245_52 006_01 324_31 047_22 015_41 321_16 292_10 102_05 351_51 289_34 0.98 13.95 R359.77 F001.23 F000.63 F000.23 F000.12 F000.02 R000.00 F000.02 359.95
2083-03-09 354_21 259_49 005_47 325_45 048_00 015_55 321_23 292_11 102_05 351_52 289_31 0.97 13.55 R359.67 F001.22 F000.62 F000.25 F000.12 F000.03 R000.00 F000.02 359.95
2083-03-10 355_19 273_22 005_27 326_58 048_37 016_10 321_30 292_13 102_05 351_53 289_28 1.00 13.20 R359.57 F001.20 F000.65 F000.20 F000.12 F000.05 R000.00 F000.03 359.95
2083-03-11 356_19 286_34 005_01 328_10 049_16 016_22 321_37 292_16 102_05 351_55 289_25 0.98 12.93 R359.48 F001.22 F000.62 F000.25 F000.10 F000.03 R359.98 F000.02 359.95
2083-03-12 357_18 299_30 004_30 329_23 049_53 016_37 321_43 292_18 102_04 351_56 289_22 0.97 12.67 R359.42 F001.23 F000.65 F000.23 F000.10 F000.02 R000.00 F000.03 359.95
2083-03-13 358_16 312_10 003_55 330_37 050_32 016_51 321_49 292_19 102_04 351_58 289_19 1.00 12.45 R359.35 F001.23 F000.63 F000.22 F000.10 F000.03 R000.00 F000.03 359.95
2083-03-14 359_16 324_37 003_16 331_51 051_10 017_04 321_55 292_21 102_04 352_00 289_16 0.98 12.32 R359.33 F001.22 F000.65 F000.25 F000.10 F000.02 R000.00 F000.02 359.95
2083-03-15 000_15 336_56 002_36 333_04 051_49 017_19 322_01 292_22 102_04 352_01 289_13 0.97 12.18 R359.27 F001.20 F000.63 F000.23 F000.10 F000.05 R000.00 F000.03 359.95
2083-03-16 001_13 349_07 001_52 334_16 052_27 017_33 322_07 292_25 102_04 352_03 289_10 0.98 12.05 R359.27 F001.23 F000.62 F000.22 F000.13 F000.02 R000.00 F000.02 359.95
2083-03-17 002_12 001_10 001_08 335_30 053_04 017_46 322_15 292_26 102_04 352_04 289_07 0.97 12.00 R359.28 F001.22 F000.65 F000.25 F000.10 F000.03 E000.00 F000.03 359.95
2083-03-18 003_10 013_10 000_25 336_43 053_43 018_01 322_21 292_28 102_04 352_06 289_04 1.00 11.90 R359.27 F001.22 F000.63 F000.25 F000.08 F000.03 F000.00 F000.02 359.93
2083-03-19 004_10 025_04 359_41 337_56 054_21 018_16 322_26 292_30 102_04 352_07 289_00 0.95 11.85 R359.32 F001.23 F000.62 F000.23 F000.12 F000.02 F000.00 F000.00 359.93
2083-03-20 005_07 036_55 359_00 339_10 054_58 018_30 322_33 292_31 102_04 352_07 288_56 1.00 11.85 R359.32 F001.20 F000.65 F000.22 F000.08 F000.03 F000.00 F000.05 359.95
2083-03-21 006_07 048_46 358_19 340_22 055_37 018_43 322_38 292_33 102_04 352_10 288_53 0.95 11.90 R359.40 F001.23 F000.65 F000.25 F000.12 F000.02 F000.00 F000.00 359.97
2083-03-22 007_04 060_40 357_43 341_36 056_16 018_58 322_45 292_34 102_04 352_10 288_51 1.00 11.95 R359.42 F001.22 F000.62 F000.22 F000.10 F000.03 F000.00 F000.05 359.95
2083-03-23 008_04 072_37 357_08 342_49 056_53 019_11 322_51 292_36 102_04 352_13 288_48 0.98 12.15 R359.50 F001.23 F000.63 F000.23 F000.08 F000.02 F000.02 F000.00 359.95
2083-03-24 009_03 084_46 356_38 344_03 057_31 019_25 322_56 292_37 102_05 352_13 288_45 0.97 12.38 R359.58 F001.22 F000.65 F000.25 F000.12 F000.02 F000.00 F000.03 359.92
2083-03-25 010_01 097_09 356_13 345_16 058_10 019_40 323_03 292_38 102_05 352_15 288_40 0.95 12.68 R359.65 F001.20 F000.62 F000.25 F000.07 F000.03 F000.00 F000.02 359.95
2083-03-26 010_58 109_50 355_52 346_28 058_47 019_55 323_07 292_40 102_05 352_16 288_37 1.00 13.12 R359.70 F001.22 F000.63 F000.22 F000.10 F000.00 F000.03 F000.03 359.95
2083-03-27 011_58 122_57 355_34 347_41 059_25 020_08 323_13 292_40 102_07 352_18 288_34 0.95 13.57 R359.80 F001.23 F000.65 F000.23 F000.10 F000.05 F000.00 F000.02 359.95
2083-03-28 012_55 136_31 355_22 348_55 060_04 020_22 323_19 292_43 102_07 352_19 288_31 1.00 14.05 R359.90 F001.22 F000.63 F000.25 F000.10 F000.00 F000.00 F000.03 359.95
