1978-02-21 336_28 113_04 354_21 350_31 090_40 063_52 121_10 202_28 234_46 172_11 162_49 1.00 12.40 F001.28 F001.23 F000.20 F000.08 R359.95 R359.97 R000.00 R359.98 359.95
1978-02-22 337_28 125_28 355_38 351_45 090_52 063_57 121_07 202_26 234_46 172_10 162_46 0.97 12.70 F001.23 F001.22 F000.20 F000.08 R359.95 R359.98 R000.00 R359.98 359.95
1978-02-23 338_26 138_10 356_52 352_58 091_04 064_02 121_04 202_25 234_46 172_09 162_43 1.00 12.95 F001.10 F001.25 F000.25 F000.12 R359.95 R359.98 R000.00 R359.97 359.95
1978-02-24 339_26 151_07 357_58 354_13 091_19 064_09 121_01 202_24 234_46 172_07 162_40 0.98 13.25 F001.00 F001.25 F000.20 F000.10 R359.95 R359.97 R000.00 R359.97 359.95
1978-02-25 340_25 164_22 358_58 355_28 091_31 064_15 120_58 202_22 234_46 172_05 162_37 1.00 13.50 F000.85 F001.22 F000.25 F000.08 R359.95 R359.97 R000.00 R359.98 359.93
1978-02-26 341_25 177_52 359_49 356_41 091_46 064_20 120_55 202_20 234_46 172_04 162_33 1.00 13.72 F000.78 F001.25 F000.25 F000.12 R359.95 R359.98 R000.00 R359.95 359.95
1978-02-27 342_25 191_35 000_36 357_56 092_01 064_27 120_52 202_19 234_46 172_01 162_30 0.97 13.93 F000.62 F001.23 F000.25 F000.08 R359.95 R359.95 R000.00 R000.00 359.93
1978-02-28 343_23 205_31 001_13 359_10 092_16 064_32 120_49 202_16 234_46 172_01 162_26 1.00 14.07 F000.53 F001.25 F000.25 F000.13 R359.95 R000.00 R359.98 R359.95 359.97
1978-02-29 344_23 219_35 001_45 000_25 092_31 064_40 120_46 202_16 234_45 171_58 162_24 0.98 14.18 F000.38 F001.22 F000.27 F000.10 R359.95 R359.95 R000.00 R359.97 359.93
1978-02-30 345_22 233_46 002_08 001_38 092_47 064_46 120_43 202_13 234_45 171_56 162_20 1.00 14.20 F000.25 F001.23 F000.28 F000.13 R359.95 R359.97 R000.00 R359.98 359.93
1978-02-31 346_22 247_58 002_23 002_52 093_04 064_54 120_40 202_11 234_45 171_55 162_16 0.98 14.25 F000.15 F001.25 F000.27 F000.12 R359.95 R359.98 R359.97 R359.98 359.95
1978-03-01 347_21 262_13 002_32 004_07 093_20 065_01 120_37 202_10 234_43 171_54 162_13 1.00 14.17 B000.03 F001.22 F000.28 F000.10 R359.95 R359.95 R000.00 R359.97 359.95
1978-03-02 348_21 276_23 002_34 005_20 093_37 065_07 120_34 202_07 234_43 171_52 162_10 0.97 14.12 R359.90 F001.25 F000.30 F000.13 R359.97 R359.97 R000.00 R359.97 359.95
1978-03-03 349_19 290_30 002_28 006_35 093_55 065_15 120_32 202_05 234_43 171_50 162_07 1.00 14.00 R359.80 F001.23 F000.30 F000.12 R359.98 R359.98 R000.00 R359.98 359.95
1978-03-04 350_19 304_30 002_16 007_49 094_13 065_22 120_31 202_04 234_43 171_49 162_04 0.98 13.85 R359.68 F001.25 F000.32 F000.13 R359.95 R359.95 R000.00 R359.95 359.95
1978-03-05 351_18 318_21 001_57 009_04 094_32 065_30 120_28 202_01 234_43 171_46 162_01 0.97 13.67 R359.60 F001.23 F000.33 F000.12 R359.95 R359.98 R359.97 R000.00 359.95
1978-03-06 352_16 332_01 001_33 010_18 094_52 065_37 120_25 202_00 234_41 171_46 161_58 1.00 13.45 R359.50 F001.22 F000.30 F000.15 R359.98 R359.97 R000.00 R359.95 359.95
1978-03-07 353_16 345_28 001_03 011_31 095_10 065_46 120_24 201_58 234_41 171_43 161_55 0.98 13.20 R359.42 F001.23 F000.33 F000.13 R359.97 R359.95 R359.98 R359.97 359.95
1978-03-08 354_15 358_40 000_28 012_45 095_30 065_54 120_22 201_55 234_40 171_41 161_52 0.97 12.95 R359.35 F001.22 F000.32 F000.12 R359.97 R359.98 R000.00 R359.98 359.95
1978-03-09 355_13 011_37 359_49 013_58 095_49 066_01 120_20 201_54 234_40 171_40 161_49 1.00 12.65 R359.30 F001.25 F000.35 F000.15 R359.98 R359.93 R000.00 R359.98 359.95
1978-03-10 356_13 024_16 359_07 015_13 096_10 066_10 120_19 201_50 234_40 171_39 161_46 0.97 12.45 R359.30 F001.22 F000.35 F000.12 R359.95 R359.98 R359.98 R359.97 359.95
1978-03-11 357_11 036_43 358_25 016_26 096_31 066_17 120_16 201_49 234_39 171_37 161_43 0.98 12.20 R359.25 F001.23 F000.35 F000.17 R000.00 R359.95 R359.97 R359.95 359.93
1978-03-12 358_10 048_55 357_40 017_40 096_52 066_27 120_16 201_46 234_37 171_34 161_39 1.00 12.05 R359.22 F001.22 F000.35 F000.13 R359.98 R359.98 R000.00 R000.00 359.93
1978-03-13 359_10 060_58 356_53 018_53 097_13 066_35 120_15 201_45 234_37 171_34 161_35 0.95 11.93 R359.25 F001.23 F000.37 F000.13 R359.97 R359.93 R000.00 R359.95 359.97
1978-03-14 000_07 072_54 356_08 020_07 097_35 066_43 120_13 201_41 234_37 171_31 161_33 1.00 11.87 R359.28 F001.25 F000.37 F000.15 R359.98 R359.98 R359.97 R359.98 359.95
1978-03-15 001_07 084_46 355_25 021_22 097_57 066_52 120_12 201_40 234_35 171_30 161_30 0.98 11.90 R359.30 F001.20 F000.37 F000.15 R359.97 R359.95 R359.98 R359.97 359.93
1978-03-16 002_06 096_40 354_43 022_34 098_19 067_01 120_10 201_37 234_34 171_28 161_26 0.97 12.03 R359.35 F001.25 F000.38 F000.15 R000.00 R359.97 R000.00 R359.97 359.93
1978-03-17 003_04 108_42 354_04 023_49 098_42 067_10 120_10 201_35 234_34 171_26 161_22 0.97 12.20 R359.40 F001.23 F000.37 F000.15 R359.98 R359.97 R000.00 R359.98 359.95
1978-03-18 004_02 120_54 353_28 025_03 099_04 067_19 120_09 201_33 234_34 171_25 161_19 0.98 12.47 R359.45 F001.22 F000.40 F000.18 R359.97 R359.97 R359.98 R359.98 359.95
1978-03-19 005_01 133_22 352_55 026_16 099_28 067_30 120_07 201_31 234_33 171_24 161_16 1.00 12.78 R359.55 F001.23 F000.40 F000.15 R000.00 R359.95 R359.97 R359.97 359.95
1978-03-20 006_01 146_09 352_28 027_30 099_52 067_39 120_07 201_28 234_31 171_22 161_13 0.95 13.12 R359.60 F001.22 F000.40 F000.17 R000.00 R359.95 R000.00 R359.97 359.95
1978-03-21 006_58 159_16 352_04 028_43 100_16 067_49 120_07 201_25 234_31 171_20 161_10 1.00 13.50 R359.68 F001.20 F000.40 F000.15 R000.00 R359.98 R359.98 R359.98 359.95
1978-03-22 007_58 172_46 351_45 029_55 100_40 067_58 120_07 201_24 234_30 171_19 161_07 0.95 13.88 R359.77 F001.25 F000.40 F000.15 R000.00 R359.93 R359.97 R359.95 359.95
