2062-04-03 018_08 301_49 029_37 338_01 026_58 096_30 063_47 200_55 056_37 330_10 334_41 0.98 12.43 R359.70 F001.15 F000.72 F000.08 F000.13 R359.95 F000.02 F000.02 359.95
2062-04-04 019_07 314_15 029_19 339_10 027_41 096_35 063_55 200_52 056_38 330_11 334_38 0.95 12.75 R359.62 F001.15 F000.73 F000.13 F000.10 R359.95 F000.03 F000.03 359.97
2062-04-05 020_04 327_00 028_56 340_19 028_25 096_43 064_01 200_49 056_40 330_13 334_36 0.98 13.12 R359.58 F001.18 F000.70 F000.10 F000.10 R359.95 F000.05 F000.00 359.95
2062-04-06 021_03 340_07 028_31 341_30 029_07 096_49 064_07 200_46 056_43 330_13 334_33 0.97 13.57 R359.53 F001.17 F000.73 F000.13 F000.10 R359.98 F000.03 F000.03 359.92
2062-04-07 022_01 353_41 028_03 342_40 029_51 096_57 064_13 200_45 056_45 330_15 334_28 0.98 13.98 R359.47 F001.15 F000.72 F000.12 F000.10 R359.93 F000.02 F000.02 359.95
2062-04-08 023_00 007_40 027_31 343_49 030_34 097_04 064_19 200_41 056_46 330_16 334_25 0.97 14.35 R359.45 F001.18 F000.70 F000.13 F000.13 R359.98 F000.02 F000.00 359.95
2062-04-09 023_58 022_01 026_58 345_00 031_16 097_12 064_27 200_40 056_47 330_16 334_22 0.95 14.65 R359.40 F001.17 F000.73 F000.12 F000.08 R359.95 F000.03 F000.03 359.95
2062-04-10 024_55 036_40 026_22 346_10 032_00 097_19 064_32 200_37 056_49 330_18 334_19 0.97 14.83 R359.40 F001.15 F000.70 F000.13 F000.13 R359.95 F000.05 F000.02 359.95
2062-04-11 025_53 051_30 025_46 347_19 032_42 097_27 064_40 200_34 056_52 330_19 334_16 0.98 14.82 R359.40 F001.18 F000.72 F000.12 F000.10 R359.95 F000.02 F000.00 359.95
2062-04-12 026_52 066_19 025_10 348_30 033_25 097_34 064_46 200_31 056_53 330_19 334_13 0.95 14.75 R359.40 F001.17 F000.70 F000.15 F000.10 R359.98 F000.03 F000.03 359.95
2062-04-13 027_49 081_04 024_34 349_40 034_07 097_43 064_52 200_30 056_55 330_21 334_10 0.98 14.52 R359.40 F001.18 F000.70 F000.12 F000.13 R359.93 F000.05 F000.02 359.95
2062-04-14 028_48 095_35 023_58 350_51 034_49 097_50 065_00 200_26 056_58 330_22 334_07 0.97 14.23 R359.45 F001.17 F000.72 F000.13 F000.12 R359.98 F000.03 F000.00 359.95
